ID,X,Y,Z,x,y,z,w,X,Y,Z,x,y,z,w,X,Y,Z,x,y,z,w,Class
1,0.201968,0.869375,0.829369,0.0113443,0.0613667,-0.0136848,0.997957,0.0656949,0.18211,0.787466,0.824677,0.0666407,-0.0173873,0.561395,0.18617,0.415462,0.799785,0.0564888,0.0606603,-0.0141075,0.996459,1
2,0.162882,1.49053,0.00158247,-0.0565729,-0.371158,0.0664053,0.924463,0.127729,0.789532,0.03267,0.0914139,-0.00000257,-0.159076,0.983025,0.193101,1.03362,0.0715205,-0.0595417,-0.372438,0.0508442,0.924748,0
3,-0.000778265,1.47419,-0.0930813,-0.210735,-0.53708,0.266036,0.772244,0.0893619,0.871687,0.252734,0.117646,-0.218847,-0.0787145,0.965437,0.0804716,1.11988,0.188087,-0.21602,-0.53919,0.261474,0.77087,0
4,-0.0442904,1.53215,0.0478527,-0.168984,-0.564564,0.272984,0.760389,0.0829729,0.919248,0.360502,0.175651,-0.231694,-0.0877716,0.952765,0.0561257,1.16855,0.30909,-0.175367,-0.565804,0.271536,0.758539,0
5,0.196572,1.1342,0.367542,-0.0819222,0.0210029,-0.00608295,0.996399,0.0889683,0.460058,0.467209,0.691462,0.0964461,-0.0643157,0.713051,0.194994,0.688252,0.433354,-0.0654341,0.0213701,-0.000707516,0.997628,1
6,0.18345,1.13834,0.39845,-0.0594244,0.022978,-0.00354851,0.997962,0.0775245,0.459899,0.475047,0.692316,0.0973502,-0.0545463,0.712914,0.183192,0.689332,0.447403,-0.0493169,0.0231893,0.00038976,0.998514,1
7,0.20534,0.828207,0.804657,0.0449833,0.0674567,-0.017467,0.996555,0.0632307,0.147384,0.708428,0.83801,0.0613187,-0.0228626,0.541717,0.184131,0.376878,0.739568,0.0984941,0.0663471,-0.0193938,0.992734,1
8,0.342984,1.54967,0.00677264,-0.0837427,-0.297187,-0.0861311,0.947232,0.0769054,0.892822,0.0272946,0.0926995,-0.011807,-0.047179,0.994506,0.225106,1.09479,0.0602149,-0.101021,-0.296973,-0.120646,0.941831,0
9,-0.0632542,1.61629,-0.0979541,-0.0599934,-0.447555,0.106953,0.885808,-0.0292275,0.917723,-0.0439071,0.109619,-0.0801908,-0.167645,0.976447,-0.000803437,1.16649,-0.00730334,-0.0546712,-0.447592,0.102919,0.886612,0
10,0.0759416,1.5752,-0.127848,-0.0885601,-0.342916,0.132056,0.925812,0.107812,0.882544,-0.0251646,0.0501146,0.0272135,-0.100018,0.99335,0.152298,1.13399,-0.0140513,-0.0867699,-0.345392,0.111196,0.927799,0
11,0.261749,1.57617,-0.0458271,-0.079239,-0.338076,-0.0263343,0.937407,0.0940463,0.896666,-0.0331748,0.0309995,-0.0235441,-0.0953688,0.994681,0.207361,1.12222,0.00984017,-0.0750738,-0.339372,-0.0435652,0.936639,0
