REFERENCE FRAME,left_hand_1
TARGET FRAMES, , , ,left_elbow_1 , , ,  , , ,right_elbow_1 , , ,  , , ,left_hand_1 , , ,  , , ,right_hand_1 , , ,  , , ,left_knee_1 , , ,  , , ,right_knee_1 , , ,  , , ,left_foot_1 , , ,  , , ,right_foot_1 , , , 
 ,Rotation_X, Rotation_Y, Rotation_Z, Dist_X, Dist_Y, Dist_Z,Rotation_X, Rotation_Y, Rotation_Z, Dist_X, Dist_Y, Dist_Z,Rotation_X, Rotation_Y, Rotation_Z, Dist_X, Dist_Y, Dist_Z,Rotation_X, Rotation_Y, Rotation_Z, Dist_X, Dist_Y, Dist_Z,Rotation_X, Rotation_Y, Rotation_Z, Dist_X, Dist_Y, Dist_Z,Rotation_X, Rotation_Y, Rotation_Z, Dist_X, Dist_Y, Dist_Z,Rotation_X, Rotation_Y, Rotation_Z, Dist_X, Dist_Y, Dist_Z,Rotation_X, Rotation_Y, Rotation_Z, Dist_X, Dist_Y, Dist_Z,
 ,4.60436e-311,-7.96268e-308,-7.96709e-308,6.95281e-310,6.94879e-310,1.93102e-312,-nan,nan,-nan,6.95281e-310,5.26453e-317,6.95281e-310,7.96273e-308,-7.96273e-308,-1.17761e-319,5.27623e-317,5.27614e-317,5.27801e-317,7.96273e-308,7.96734e-308,0,1.97626e-323,2.07508e-322,6.9488e-310,-7.11144e-315,4.60462e-311,-3.50768e-314,6.9488e-310,6.95281e-310,6.95281e-310,-4.49587e-311,7.96261e-308,0,6.95281e-310,6.95281e-310,1.95906e-314,-4.60486e-311,7.96273e-308,7.96723e-308,0,6.95281e-310,0,-2.98929e-319,6.71035e-308,4.60462e-311,7.1854e-315,0.1,6.95281e-310,
 ,159.928,34.3346,35.4573,0.287653,-3.23318e-06,1.98236e-06,71.1067,-28.7729,-73.8579,0.283948,0.149287,-0.0229686,0,-0,0,0,0,0,0,-0,0,0.0032996,0.165679,-0.570651,165.323,30.2859,147.283,-0.283194,0.806951,0.289039,-25.4834,9.86859,-1.21227,0.168623,0.28724,-0.673467,0,-0,0,0.635878,1.0351,-0.4588,0,-0,0,0.266614,0.922517,-0.266176,
 ,170.129,25.5914,33.3191,0.289905,-2.31966e-06,1.84728e-07,51.4853,-19.3321,-74.4342,0.307251,0.0534819,-0.1528,0,-0,0,0,0,0,0,-0,0,0.0522257,0.226629,-0.574231,163.401,24.5301,151.159,-0.348786,0.725029,0.350681,-64.9249,28.1145,-16.0603,0.0149394,-0.0547082,-0.385899,0,-0,0,0.637829,0.998957,-0.408201,0,-0,0,0.103668,0.499454,0.165608,
 ,-163.268,-51.0829,156.7,0.198359,9.33166e-07,-5.73789e-07,37.7054,-12.8351,-76.8793,0.323772,0.0304706,-0.31069,0,-0,0,0,0,0,0,-0,0,0.0380626,0.278778,-0.629244,160.933,22.6903,150.859,-0.372047,0.67859,0.45987,-67.8716,25.7634,-15.5899,-0.0144128,-0.147473,-0.378443,0,-0,0,0.619205,0.989089,-0.459482,0,-0,0,0.0842707,0.451687,0.103045,
 ,146.886,-30.2787,-139.154,0.315005,3.54803e-06,2.42581e-07,27.6724,-8.54845,-79.583,0.248084,-0.0303823,-0.411016,0,-0,0,0,0,0,0,-0,0,0.0647998,0.266931,-0.620294,159.788,21.4746,145.537,-0.368896,0.670336,0.481962,-68.3508,21.9543,-15.6583,0.019237,-0.188445,-0.358133,0,-0,0,0.684494,0.925301,-0.49821,0,-0,0,0.091233,0.411558,0.0898858,
 ,155.477,-36.0593,-139.118,0.327249,5.76825e-06,-1.06611e-06,20.2951,-5.75124,-81.9906,0.14724,-0.0699097,-0.458514,0,-0,0,0,0,0,0,-0,0,0.0836559,0.234903,-0.587194,159.124,22.0578,139.286,-0.365398,0.676522,0.459674,-24.1065,16.8714,-5.83786,0.104555,-0.0233547,-0.30404,0,-0,0,0.751194,0.844049,-0.534684,0,-0,0,0.148474,0.487883,-0.0804573,
 ,179.724,-49.6865,-154.374,0.31814,5.21911e-06,-2.55235e-06,14.8649,-3.91849,-83.9564,0.0523472,-0.104057,-0.50825,0,-0,0,0,0,0,0,-0,0,0.0930777,0.196538,-0.589939,157.348,30.4997,144.695,-0.504279,0.633058,0.353567,-55.6093,13.6991,-11.4321,0.130228,-0.20813,-0.310773,0,-0,0,0.702307,0.845696,-0.539974,0,-0,0,0.161381,0.35025,0.0150406,
 ,177.531,-53.8123,-145.91,0.316803,1.81494e-06,-7.4374e-07,10.8733,-2.70365,-85.4927,-0.00476224,-0.131659,-0.519672,0,-0,0,0,0,0,0,-0,0,0.129044,0.170548,-0.568727,160.081,35.8116,161.725,-0.670586,0.469207,0.234754,-57.3426,16.2165,-14.4784,0.152179,-0.294986,-0.401485,0,-0,0,0.606634,0.849113,-0.465759,0,-0,0,0.221761,0.3875,-0.0506869,
 ,169.26,-55.1413,-134.29,0.323487,1.2575e-05,-5.97449e-06,7.95853,-1.89049,-86.6579,-0.0471936,-0.163817,-0.51305,0,-0,0,0,0,0,0,-0,0,0.160716,0.159546,-0.545986,157.732,33.4332,162.186,-0.695624,0.43219,0.239442,-41.1821,13.4057,-8.94301,0.246382,-0.208369,-0.626174,0,-0,0,0.640171,0.829148,-0.42723,0,-0,0,0.348735,0.560832,-0.253988,
 ,169.038,-57.8631,-129.995,0.325094,4.09809e-06,-4.80931e-07,5.80422,-1.33059,-87.5408,-0.0908135,-0.172406,-0.497456,0,-0,0,0,0,0,0,-0,0,0.164508,0.140408,-0.524945,157.166,32.748,162.25,-0.704922,0.403338,0.22658,-33.0162,11.3941,-6.47597,0.295771,-0.1585,-0.684048,0,-0,0,0.655111,0.799212,-0.412963,0,-0,0,0.39348,0.589178,-0.354759,
