REFERENCE FRAME,left_hand_1
TARGET FRAMES, , , ,left_elbow_1 , , ,  , , ,right_elbow_1 , , ,  , , ,left_hand_1 , , ,  , , ,right_hand_1 , , ,  , , ,left_knee_1 , , ,  , , ,right_knee_1 , , ,  , , ,left_foot_1 , , ,  , , ,right_foot_1 , , , 
 ,Rotation_X, Rotation_Y, Rotation_Z, Dist_X, Dist_Y, Dist_Z,Rotation_X, Rotation_Y, Rotation_Z, Dist_X, Dist_Y, Dist_Z,Rotation_X, Rotation_Y, Rotation_Z, Dist_X, Dist_Y, Dist_Z,Rotation_X, Rotation_Y, Rotation_Z, Dist_X, Dist_Y, Dist_Z,Rotation_X, Rotation_Y, Rotation_Z, Dist_X, Dist_Y, Dist_Z,Rotation_X, Rotation_Y, Rotation_Z, Dist_X, Dist_Y, Dist_Z,Rotation_X, Rotation_Y, Rotation_Z, Dist_X, Dist_Y, Dist_Z,Rotation_X, Rotation_Y, Rotation_Z, Dist_X, Dist_Y, Dist_Z,
 ,1.36805e-310,-7.95343e-308,-7.96693e-308,6.95267e-310,6.94073e-310,1.93102e-312,-nan,nan,-nan,6.95267e-310,1.40257e-316,6.95267e-310,7.95349e-308,-7.95349e-308,-1.17761e-319,1.40287e-316,1.40286e-316,1.40305e-316,7.95349e-308,7.96717e-308,0,1.97626e-323,2.07508e-322,6.94073e-310,-7.11144e-315,1.36807e-310,-3.50768e-314,6.94073e-310,6.95267e-310,6.95267e-310,-1.34967e-310,7.95337e-308,0,6.95267e-310,6.95267e-310,1.95906e-314,-1.3681e-310,7.95349e-308,7.96699e-308,0,6.95267e-310,0,-2.98929e-319,4.48587e-308,1.36807e-310,7.1854e-315,0.1,6.95267e-310,
 ,-45.1223,14.2027,56.9457,0.293139,1.23674e-06,-2.56747e-06,-104.122,13.7004,-150.827,-0.389947,-0.339813,-0.0836469,0,-0,0,0,0,0,0,-0,0,0.267032,-0.0399271,0.24478,-1.2953,1.82941,-0.554255,0.237596,0.371841,-0.286092,-50.3029,10.5162,-6.81809,0.327858,0.295585,-0.174776,0,-0,0,0.238874,0.807795,-0.260399,0,-0,0,0.26752,0.581898,0.500761,
 ,-41.5125,15.6258,58.1053,0.293752,4.72158e-06,-7.48582e-06,-95.5383,24.1759,-145.981,-0.317894,-0.341918,-0.119726,0,-0,0,0,0,0,0,-0,0,0.247266,-0.00551399,0.266565,-51.6361,36.9293,-31.8773,-0.0223514,0.184254,-0.299204,-36.4408,8.3252,-4.06292,0.317555,0.332674,-0.231489,0,-0,0,-0.0937304,0.663813,0.122102,0,-0,0,0.293631,0.741597,0.310192,
 ,-41.4165,14.9585,57.8431,0.29374,-3.64468e-07,1.29513e-07,-97.59,20.8249,-146.203,-0.32165,-0.346024,-0.102983,0,-0,0,0,0,0,0,-0,0,0.24139,-0.0174229,0.269799,-33.8375,29.8474,-18.6524,0.0525531,0.225342,-0.375687,-61.8812,10.494,-6.86691,0.312035,0.315514,-0.0841916,0,-0,0,0.049033,0.753337,0.0174442,0,-0,0,0.232603,0.402769,0.663425,
 ,-41.5951,14.7849,58.5503,0.293767,2.07278e-07,9.50143e-08,-99.4993,20.4611,-147.936,-0.339759,-0.34407,-0.103405,0,-0,0,0,0,0,0,-0,0,0.246793,-0.0257244,0.264547,-26.0851,25.1047,-13.3708,0.0891011,0.250742,-0.390873,-56.1552,9.84766,-5.97005,0.312888,0.318745,-0.136772,0,-0,0,0.102281,0.779958,-0.0453902,0,-0,0,0.253507,0.510242,0.590734,
 ,-39.8931,15.7152,58.5881,0.293545,-5.46823e-08,5.68104e-08,-97.8722,27.1266,-149.053,-0.313363,-0.329519,-0.148872,0,-0,0,0,0,0,0,-0,0,0.239394,0.00741113,0.272244,-16.0707,17.1733,-7.24863,0.128089,0.328399,-0.375572,-62.8842,10.1411,-5.92177,0.290923,0.340323,-0.098773,0,-0,0,0.141157,0.832917,-0.123737,0,-0,0,0.224259,0.41542,0.67907,
 ,-38.8055,15.4856,58.9705,0.293736,2.46228e-07,7.17258e-08,-98.7947,20.5106,-147.022,-0.313974,-0.343807,-0.112243,0,-0,0,0,0,0,0,-0,0,0.234685,-0.010301,0.276173,-11.4024,12.7301,-4.75698,0.163194,0.343469,-0.348289,-56.3548,9.77648,-5.42259,0.305206,0.340578,-0.138855,0,-0,0,0.17301,0.829372,-0.157115,0,-0,0,0.251459,0.52087,0.606586,
 ,-40.2232,15.1073,58.2497,0.29377,-1.0563e-08,2.25593e-07,-96.505,20.1856,-144.581,-0.307989,-0.348676,-0.0920676,0,-0,0,0,0,0,0,-0,0,0.235005,-0.019407,0.273428,-8.17058,9.37785,-3.20009,0.190438,0.354005,-0.333494,-56.2765,9.77771,-5.84242,0.316776,0.328413,-0.136919,0,-0,0,0.198891,0.826353,-0.189646,0,-0,0,0.25796,0.513999,0.599903,
 ,-39.728,14.5985,58.6642,0.29379,-2.79949e-07,-6.45594e-08,-98.9917,26.826,-150.461,-0.367751,-0.337524,-0.129529,0,-0,0,0,0,0,0,-0,0,0.268711,-0.0306173,0.252755,-5.89031,6.88313,-2.19468,0.198073,0.358803,-0.3169,-62.331,9.98908,-6.57279,0.314362,0.317468,-0.0768315,0,-0,0,0.204582,0.819442,-0.211524,0,-0,0,0.236899,0.392552,0.670536,
 ,-40.0796,14.4501,58.5349,0.293765,-4.53821e-07,2.3806e-07,-98.8851,27.4533,-151.648,-0.398823,-0.332446,-0.146425,0,-0,0,0,0,0,0,-0,0,0.296698,-0.0260876,0.237205,-4.26227,5.04046,-1.52778,0.20815,0.372302,-0.292132,-60.8632,10.3904,-6.75634,0.318241,0.325198,-0.0768159,0,-0,0,0.211693,0.823344,-0.213994,0,-0,0,0.237597,0.412348,0.668807,
