REFERENCE FRAME,left_hand_1
TARGET FRAMES, , , ,left_elbow_1 , , ,  , , ,right_elbow_1 , , ,  , , ,left_hand_1 , , ,  , , ,right_hand_1 , , ,  , , ,left_knee_1 , , ,  , , ,right_knee_1 , , ,  , , ,left_foot_1 , , ,  , , ,right_foot_1 , , , 
 ,Rotation_X, Rotation_Y, Rotation_Z, Dist_X, Dist_Y, Dist_Z,Rotation_X, Rotation_Y, Rotation_Z, Dist_X, Dist_Y, Dist_Z,Rotation_X, Rotation_Y, Rotation_Z, Dist_X, Dist_Y, Dist_Z,Rotation_X, Rotation_Y, Rotation_Z, Dist_X, Dist_Y, Dist_Z,Rotation_X, Rotation_Y, Rotation_Z, Dist_X, Dist_Y, Dist_Z,Rotation_X, Rotation_Y, Rotation_Z, Dist_X, Dist_Y, Dist_Z,Rotation_X, Rotation_Y, Rotation_Z, Dist_X, Dist_Y, Dist_Z,Rotation_X, Rotation_Y, Rotation_Z, Dist_X, Dist_Y, Dist_Z,
 ,5.92068e-310,-7.90843e-308,-7.96745e-308,6.95312e-310,6.90145e-310,1.93102e-312,-nan,nan,-nan,6.95312e-310,1.03096e-316,6.95312e-310,7.90848e-308,-7.90848e-308,-1.17761e-319,1.03213e-316,1.03212e-316,1.03231e-316,7.90848e-308,7.96769e-308,0,1.97626e-323,2.07508e-322,6.90145e-310,-7.11144e-315,5.9207e-310,-3.50768e-314,6.90145e-310,6.95312e-310,6.95312e-310,-5.89898e-310,7.90838e-308,0,6.95312e-310,6.95312e-310,1.95906e-314,-5.92073e-310,7.90848e-308,7.96747e-308,0,6.95312e-310,0,-2.98929e-319,7.06848e-308,5.9207e-310,7.1854e-315,0.1,6.95312e-310,
 ,-11.6159,-18.7842,82.8603,0.329347,-2.81924e-08,-8.31756e-08,-11.0746,5.4609,-81.0451,-0.211468,-0.593374,-0.0694824,0,-0,0,0,0,0,0,-0,0,0.608341,0.0257457,-0.00682493,2.48982,7.6889,-3.16775,0.156347,-0.190336,0.299064,4.48892,-12.6969,-0.494143,0.404911,-0.210221,0.407851,0,-0,0,0.101004,0.271653,0.303902,0,-0,0,0.482702,0.257025,0.290096,
 ,-11.9792,-17.9303,83.1299,0.329363,-3.26808e-07,1.7719e-05,-10.7432,5.5001,-81.6976,-0.222602,-0.588646,-0.0687957,0,-0,0,0,0,0,0,-0,0,0.601726,0.0223112,-0.00713764,0.689783,7.48071,-3.56318,0.157913,-0.175154,0.309289,4.85626,-12.2421,-0.208899,0.404889,-0.204013,0.412771,0,-0,0,0.0996659,0.278269,0.321702,0,-0,0,0.482361,0.263788,0.296448,
 ,-11.614,-18.3699,82.978,0.329337,-3.96297e-06,6.87842e-06,-10.8294,4.8024,-81.7689,-0.227469,-0.589333,-0.0608852,0,-0,0,0,0,0,0,-0,0,0.600853,0.0181754,-0.00736326,4.07231,7.73406,-3.20964,0.159969,-0.188392,0.301519,5.09556,-12.2747,-0.405878,0.406427,-0.202763,0.410422,0,-0,0,0.103704,0.282284,0.299181,0,-0,0,0.482724,0.267437,0.292428,
 ,-11.8091,-18.6187,83.0627,0.329345,5.01348e-06,-1.38605e-07,-10.7359,4.95735,-81.9312,-0.232069,-0.587414,-0.0656051,0,-0,0,0,0,0,0,-0,0,0.598695,0.0161959,-0.011112,6.74699,7.56555,-3.48594,0.154558,-0.201631,0.290775,4.52621,-12.3326,-0.376189,0.404365,-0.198156,0.408582,0,-0,0,0.100269,0.281832,0.275465,0,-0,0,0.480742,0.268748,0.292827,
 ,-10.5074,-18.1765,82.974,0.329266,3.42115e-07,-2.6372e-06,-10.5696,5.52537,-82.1543,-0.239366,-0.586893,-0.0662175,0,-0,0,0,0,0,0,-0,0,0.5973,0.0104813,-0.0069417,6.60064,7.48828,-3.22536,0.153918,-0.203385,0.293976,4.50865,-12.7195,-0.36585,0.402892,-0.2019,0.412172,0,-0,0,0.100836,0.279162,0.279531,0,-0,0,0.482262,0.264885,0.293775,
 ,-11.565,-18.3831,83.3154,0.329334,1.01005e-07,4.11522e-07,-10.5377,5.8171,-82.2585,-0.247253,-0.584334,-0.0732379,0,-0,0,0,0,0,0,-0,0,0.59445,0.00497311,-0.012355,5.64071,8.31118,-3.4868,0.157531,-0.1974,0.294269,4.69319,-11.4611,-0.0142953,0.411285,-0.200766,0.404219,0,-0,0,0.098435,0.28145,0.28549,0,-0,0,0.483345,0.264563,0.293785,
 ,-11.293,-17.8756,83.0849,0.329347,-4.22584e-08,-5.02785e-07,-9.30902,5.89617,-81.2002,-0.239189,-0.589871,-0.0777516,0,-0,0,0,0,0,0,-0,0,0.601544,0.00142891,-0.0160211,4.99815,8.98991,-3.18507,0.161574,-0.195428,0.295188,3.63039,-11.0326,-0.62599,0.412848,-0.202511,0.405316,0,-0,0,0.0997787,0.279906,0.291366,0,-0,0,0.480209,0.262008,0.303339,
 ,-11.9736,-18.2323,83.0675,0.329339,-2.04295e-06,5.17947e-06,-9.57513,6.89555,-81.9208,-0.246881,-0.585773,-0.0884401,0,-0,0,0,0,0,0,-0,0,0.597887,0.00211367,-0.0166596,4.6041,8.90811,-3.39502,0.157467,-0.203698,0.287547,4.78543,-10.3962,-0.176624,0.416291,-0.214851,0.391192,0,-0,0,0.0969282,0.269328,0.285548,0,-0,0,0.479364,0.251777,0.289778,
 ,-11.3624,-17.3489,82.7544,0.329341,-2.12445e-08,-4.50485e-07,-10.2148,6.73525,-82.2005,-0.246685,-0.588052,-0.0780887,0,-0,0,0,0,0,0,-0,0,0.59889,0.00346606,-0.00740716,5.90565,8.6566,-2.93217,0.165128,-0.205695,0.297174,5.65785,-10.7537,0.494545,0.419121,-0.209446,0.398894,0,-0,0,0.10644,0.27404,0.290148,0,-0,0,0.488118,0.256962,0.289409,
 ,-11.7798,-18.0072,83.2049,0.329341,-1.51156e-08,3.88967e-07,-10.3442,5.99657,-81.5289,-0.246366,-0.59061,-0.0747849,0,-0,0,0,0,0,0,-0,0,0.600939,-0.00268479,-0.0127607,6.33623,9.89892,-3.08096,0.158637,-0.212053,0.287866,5.55528,-9.85238,-0.049797,0.41507,-0.212597,0.382992,0,-0,0,0.094478,0.269062,0.280725,0,-0,0,0.474291,0.256647,0.282837,
 ,-10.6345,-17.7373,82.9145,0.329283,2.37489e-07,-5.96628e-07,-9.89989,6.52864,-81.9565,-0.247776,-0.587636,-0.076486,0,-0,0,0,0,0,0,-0,0,0.598118,3.15601e-05,-0.00865901,5.46161,9.25405,-2.78216,0.16156,-0.204879,0.297371,5.7706,-10.2246,-0.225704,0.415913,-0.215669,0.393448,0,-0,0,0.10017,0.27211,0.293043,0,-0,0,0.478275,0.256642,0.289189,
 ,-10.4369,-18.5935,82.8243,0.329326,1.56512e-07,1.43798e-07,-10.9476,6.54705,-82.2491,-0.256106,-0.587813,-0.0733043,0,-0,0,0,0,0,0,-0,0,0.596816,-0.00558316,-0.00646938,5.19573,9.79833,-2.26972,0.166058,-0.201013,0.291604,5.56541,-9.75277,0.183542,0.422457,-0.212983,0.386009,0,-0,0,0.104545,0.27307,0.290438,0,-0,0,0.482456,0.254843,0.285375,
 ,-11.2168,-18.1287,82.9549,0.329336,-2.04061e-07,7.14236e-07,-10.328,7.1275,-82.0833,-0.25612,-0.586117,-0.0841113,0,-0,0,0,0,0,0,-0,0,0.596485,-0.00627262,-0.0114908,5.87712,9.83648,-2.26686,0.161272,-0.206887,0.286961,5.76279,-9.70099,0.228555,0.419573,-0.212816,0.382859,0,-0,0,0.100673,0.269906,0.282573,0,-0,0,0.478981,0.255416,0.282309,
 ,-11.3433,-18.297,82.9677,0.329347,1.23355e-07,1.47075e-07,-11.165,7.03402,-82.2469,-0.251194,-0.586196,-0.0785585,0,-0,0,0,0,0,0,-0,0,0.596547,-0.000556401,-0.00576457,4.37037,9.43184,-2.51309,0.161478,-0.199635,0.288483,6.62181,-9.95104,0.196133,0.41871,-0.21927,0.380453,0,-0,0,0.101458,0.270314,0.289535,0,-0,0,0.478899,0.252986,0.274905,
 ,-11.5332,-18.8441,83.1498,0.329353,-1.88295e-08,5.33218e-08,-11.2429,6.6334,-82.042,-0.248874,-0.585158,-0.0750892,0,-0,0,0,0,0,0,-0,0,0.595381,-7.62312e-05,-0.00649466,4.43224,9.25435,-3.18759,0.16405,-0.196923,0.294887,6.99544,-9.70739,-0.0838166,0.422439,-0.219174,0.382386,0,-0,0,0.100889,0.275677,0.294784,0,-0,0,0.480548,0.257327,0.276454,
 ,-12.1738,-18.8993,82.8671,0.329318,-2.01977e-06,1.51403e-06,-9.33845,6.42191,-80.9247,-0.235662,-0.590167,-0.0847431,0,-0,0,0,0,0,0,-0,0,0.603275,0.00218732,-0.0172497,4.32138,9.68557,-2.54506,0.161328,-0.196401,0.288975,7.01748,-9.87729,-1.13807,0.418788,-0.226768,0.378991,0,-0,0,0.0995792,0.273465,0.290368,0,-0,0,0.473334,0.257013,0.272922,
 ,-12.1995,-18.3831,82.7001,0.329346,6.19962e-07,-6.89451e-07,-9.97958,6.96009,-81.9982,-0.246116,-0.587268,-0.0858534,0,-0,0,0,0,0,0,-0,0,0.599138,0.00279563,-0.0130567,4.92993,9.59007,-2.32956,0.163339,-0.200116,0.286121,7.33627,-10.2843,-0.692409,0.421308,-0.229617,0.379875,0,-0,0,0.10363,0.272155,0.285355,0,-0,0,0.479824,0.252134,0.269024,
 ,-12.3462,-18.8011,82.6377,0.329347,-2.44477e-07,8.37921e-08,-9.73452,6.70531,-81.4564,-0.240621,-0.589937,-0.083693,0,-0,0,0,0,0,0,-0,0,0.602253,0.00230527,-0.0132648,5.3159,9.70309,-1.7193,0.165684,-0.197144,0.28872,7.18125,-10.0334,-0.705457,0.421633,-0.224676,0.382836,0,-0,0,0.107387,0.275782,0.286955,0,-0,0,0.479238,0.257069,0.274004,
 ,-12.3074,-18.6515,82.9689,0.32934,-4.21055e-08,1.14791e-06,-10.5897,6.79217,-82.2002,-0.248604,-0.586244,-0.0807884,0,-0,0,0,0,0,0,-0,0,0.597176,0.00228983,-0.00998303,4.97,10.4241,-1.73785,0.167059,-0.203349,0.280682,6.66954,-9.4152,-0.0299917,0.425544,-0.219231,0.370975,0,-0,0,0.106367,0.267458,0.282894,0,-0,0,0.480383,0.254188,0.268686,
 ,-13.0926,-18.9259,83.0105,0.329343,-3.2686e-07,1.33049e-07,-9.42761,6.72374,-81.6634,-0.24212,-0.585879,-0.0915095,0,-0,0,0,0,0,0,-0,0,0.598972,0.00484768,-0.0210181,4.93299,9.58512,-2.44215,0.160049,-0.20209,0.281807,6.55731,-10.111,-0.867923,0.41902,-0.22565,0.375577,0,-0,0,0.100739,0.269934,0.280637,0,-0,0,0.475199,0.253409,0.269587,
 ,-13.2818,-21.0248,83.8802,0.329334,6.05887e-09,-8.12819e-09,-9.46642,4.9261,-81.6591,-0.244035,-0.588125,-0.0723668,0,-0,0,0,0,0,0,-0,0,0.5983,0.00257673,-0.0209294,3.88566,8.69783,-4.38333,0.1559,-0.210096,0.287661,6.35765,-9.8531,-0.876656,0.415412,-0.230723,0.371891,0,-0,0,0.0927666,0.26154,0.288139,0,-0,0,0.469718,0.247307,0.270153,
 ,-12.5612,-21.4816,83.7532,0.329333,2.16411e-06,-6.78945e-07,-10.0824,6.85238,-82.3697,-0.249809,-0.587089,-0.0801866,0,-0,0,0,0,0,0,-0,0,0.597773,0.00233035,-0.0086561,4.66838,8.05428,-4.09376,0.15448,-0.219061,0.288802,6.37772,-9.58399,-1.43885,0.411864,-0.239605,0.369006,0,-0,0,0.0964639,0.255769,0.285461,0,-0,0,0.462456,0.242547,0.270878,
