REFERENCE FRAME,left_hand_1
TARGET FRAMES, , , ,left_elbow_1 , , ,  , , ,right_elbow_1 , , ,  , , ,left_hand_1 , , ,  , , ,right_hand_1 , , ,  , , ,left_knee_1 , , ,  , , ,right_knee_1 , , ,  , , ,left_foot_1 , , ,  , , ,right_foot_1 , , , 
 ,Rotation_X, Rotation_Y, Rotation_Z, Dist_X, Dist_Y, Dist_Z,Rotation_X, Rotation_Y, Rotation_Z, Dist_X, Dist_Y, Dist_Z,Rotation_X, Rotation_Y, Rotation_Z, Dist_X, Dist_Y, Dist_Z,Rotation_X, Rotation_Y, Rotation_Z, Dist_X, Dist_Y, Dist_Z,Rotation_X, Rotation_Y, Rotation_Z, Dist_X, Dist_Y, Dist_Z,Rotation_X, Rotation_Y, Rotation_Z, Dist_X, Dist_Y, Dist_Z,Rotation_X, Rotation_Y, Rotation_Z, Dist_X, Dist_Y, Dist_Z,Rotation_X, Rotation_Y, Rotation_Z, Dist_X, Dist_Y, Dist_Z,
 ,1.23759e-310,-7.95506e-308,-7.96725e-308,6.95295e-310,6.94215e-310,1.93102e-312,-nan,nan,-nan,6.95295e-310,5.56808e-317,6.95295e-310,7.95511e-308,-7.95511e-308,-1.17761e-319,5.57979e-317,5.57969e-317,5.58157e-317,7.95511e-308,7.96749e-308,0,1.97626e-323,2.07508e-322,6.94215e-310,-7.11144e-315,1.23762e-310,-3.50768e-314,6.94215e-310,6.95295e-310,6.95295e-310,-1.23574e-310,7.95507e-308,0,6.95295e-310,6.95295e-310,1.95906e-314,-1.23764e-310,7.95511e-308,7.96747e-308,0,6.95295e-310,0,-2.98929e-319,6.6474e-308,1.23762e-310,7.1854e-315,0.1,6.95295e-310,
 ,3.73955e-15,-1.41342e-17,89.9988,0.315448,-1.17647e-06,1.27397e-06,4.49802e-15,4.49794e-15,-89.999,-0.314032,-0.277265,0.194852,0,-0,0,0,0,0,0,-0,0,0.277265,0.00140937,0.194853,-1.27222e-14,1.27222e-14,-1.41245e-30,-0.0377535,0.298784,0.151554,-6.36111e-15,1.90833e-14,-1.90833e-14,0.144417,0.299708,0.27958,0,-0,0,-0.0377499,0.762679,0.151551,0,-0,0,0.14442,0.763602,0.279578,
 ,3.73955e-15,-1.41342e-17,89.9988,0.315446,-5.15706e-07,-1.16361e-06,4.49802e-15,4.49794e-15,-89.999,-0.314298,-0.275153,0.19783,0,-0,0,0,0,0,0,-0,0,0.275154,0.00114389,0.19783,-6.36111e-15,6.36111e-15,-6.36111e-15,-0.0397367,0.298372,0.152225,-3.70768e-30,2.22639e-14,-1.90833e-14,0.141074,0.299118,0.282166,0,-0,0,-0.0397361,0.762264,0.152224,0,-0,0,0.141077,0.763011,0.282161,
 ,3.73955e-15,-1.41342e-17,89.9988,0.315459,1.34824e-05,-1.84997e-05,4.49802e-15,4.49794e-15,-89.999,-0.314418,-0.272123,0.201976,0,-0,0,0,0,0,0,-0,0,0.272122,0.00103134,0.201977,-6.36111e-15,6.36111e-15,-6.36111e-15,-0.0374131,0.300791,0.145743,6.36111e-15,9.54166e-15,-1.90833e-14,0.141381,0.301457,0.278427,0,-0,0,-0.0374217,0.764686,0.145754,0,-0,0,0.141375,0.765353,0.278436,
 ,3.73955e-15,-1.41342e-17,89.9988,0.315448,5.68855e-07,9.54485e-07,4.49802e-15,4.49794e-15,-89.999,-0.313005,-0.275325,0.197493,0,-0,0,0,0,0,0,-0,0,0.275322,0.00243792,0.197493,-6.36111e-15,6.36111e-15,-6.36111e-15,-0.0372797,0.300629,0.14603,6.36111e-15,9.54166e-15,-1.90833e-14,0.14358,0.302224,0.27583,0,-0,0,-0.0373104,0.764519,0.146031,0,-0,0,0.143575,0.766118,0.275831,
 ,3.73955e-15,-1.41342e-17,89.9988,0.315448,-5.99424e-07,2.17435e-07,4.49802e-15,4.49794e-15,-89.999,-0.311346,-0.273611,0.199921,0,-0,0,0,0,0,0,-0,0,0.273611,0.00409694,0.199921,0,-0,0,-0.0439757,0.298868,0.149527,0,-3.18055e-15,0,0.135795,0.30156,0.280883,0,-0,0,-0.0439748,0.762762,0.149526,0,-0,0,0.135796,0.765454,0.280883,
 ,3.73955e-15,-1.41342e-17,89.9988,0.315449,2.27167e-07,-1.42532e-07,4.49802e-15,4.49794e-15,-89.999,-0.310274,-0.272023,0.202039,0,-0,0,0,0,0,0,-0,0,0.272022,0.00517047,0.202038,0,-0,0,-0.0458205,0.299293,0.147759,0,-3.18055e-15,0,0.132913,0.302674,0.280526,0,-0,0,-0.045822,0.763189,0.147765,0,-0,0,0.132912,0.766568,0.280533,
 ,3.73955e-15,-1.41342e-17,89.9988,0.315464,-1.57382e-05,1.24048e-05,4.49802e-15,4.49794e-15,-89.999,-0.307605,-0.274098,0.199159,0,-0,0,0,0,0,0,-0,0,0.274098,0.00783823,0.19916,0,-0,0,-0.0491645,0.298497,0.149047,0,-3.18055e-15,0,0.130894,0.303623,0.279918,0,-0,0,-0.0491616,0.762393,0.149045,0,-0,0,0.130918,0.76753,0.279919,
 ,3.73955e-15,-1.41342e-17,89.9988,0.315448,1.19044e-08,-5.02199e-07,4.49802e-15,4.49794e-15,-89.999,-0.307165,-0.269018,0.205936,0,-0,0,0,0,0,0,-0,0,0.269018,0.008277,0.205935,0,-0,0,-0.051882,0.29935,0.145422,0,-3.18055e-15,0,0.12487,0.304787,0.28072,0,-0,0,-0.0518807,0.763244,0.145423,0,-0,0,0.124872,0.768681,0.28072,
 ,3.73955e-15,-1.41342e-17,89.9988,0.315447,1.50415e-06,-4.2312e-06,4.49802e-15,4.49794e-15,-89.999,-0.311205,-0.264131,0.21229,0,-0,0,0,0,0,0,-0,0,0.26413,0.00423808,0.212292,0,-0,0,-0.0461308,0.301289,0.141333,0,-3.18055e-15,0,0.127278,0.304074,0.280715,0,-0,0,-0.0461346,0.765181,0.14134,0,-0,0,0.127275,0.767967,0.280722,
 ,3.73955e-15,-1.41342e-17,89.9988,0.315447,2.12622e-06,-3.13708e-06,4.49802e-15,4.49794e-15,-89.999,-0.307033,-0.26074,0.216314,0,-0,0,0,0,0,0,-0,0,0.260739,0.00841,0.216315,0,-0,0,-0.052103,0.302123,0.1365,0,-3.18055e-15,0,0.119047,0.307641,0.278501,0,-0,0,-0.0521061,0.766016,0.136506,0,-0,0,0.119046,0.771534,0.278505,
 ,3.73955e-15,-1.41342e-17,89.9988,0.315448,-2.31281e-06,1.80814e-06,4.49802e-15,4.49794e-15,-89.999,-0.312821,-0.265722,0.210334,0,-0,0,0,0,0,0,-0,0,0.265721,0.00262177,0.210336,0,-0,0,-0.0461058,0.299609,0.146438,0,-3.18055e-15,0,0.128273,0.301341,0.284512,0,-0,0,-0.0461026,0.763504,0.146432,0,-0,0,0.128275,0.765236,0.284509,
 ,3.73955e-15,-1.41342e-17,89.9988,0.315475,-1.34064e-05,2.13714e-05,4.49802e-15,4.49794e-15,-89.999,-0.307475,-0.273451,0.20002,0,-0,0,0,0,0,0,-0,0,0.273456,0.00796907,0.200011,0,-0,0,-0.0496789,0.29853,0.148774,0,-3.18055e-15,0,0.129969,0.303714,0.280198,0,-0,0,-0.0496557,0.762439,0.14878,0,-0,0,0.12998,0.76761,0.280201,
 ,3.73955e-15,-1.41342e-17,89.9988,0.315449,-1.88085e-07,-1.95828e-06,4.49802e-15,4.49794e-15,-89.999,-0.309113,-0.269107,0.20589,0,-0,0,0,0,0,0,-0,0,0.269107,0.00633212,0.205892,0,-0,0,-0.0546632,0.296293,0.153468,0,-3.18055e-15,0,0.122113,0.300459,0.28872,0,-0,0,-0.0546641,0.760188,0.153469,0,-0,0,0.122112,0.764356,0.28872,
 ,3.73955e-15,-1.41342e-17,89.9988,0.315448,-9.41384e-07,1.38552e-06,4.49802e-15,4.49794e-15,-89.999,-0.308553,-0.265822,0.210092,0,-0,0,0,0,0,0,-0,0,0.265822,0.00689033,0.210091,0,-0,0,-0.0513389,0.299792,0.144128,0,-3.18055e-15,0,0.123191,0.304316,0.282061,0,-0,0,-0.0513377,0.763687,0.144127,0,-0,0,0.123192,0.768211,0.28206,
 ,3.73955e-15,-1.41342e-17,89.9988,0.315448,-1.87632e-06,2.09092e-06,4.49802e-15,4.49794e-15,-89.999,-0.311197,-0.263921,0.212545,0,-0,0,0,0,0,0,-0,0,0.26392,0.00424652,0.212545,0,-0,0,-0.051723,0.298447,0.148084,0,-3.18055e-15,0,0.121541,0.301237,0.287628,0,-0,0,-0.0517219,0.762342,0.148081,0,-0,0,0.121541,0.765131,0.287626,
 ,3.73955e-15,-1.41342e-17,89.9988,0.315448,-4.33626e-07,9.18692e-07,4.49802e-15,4.49794e-15,-89.999,-0.310925,-0.26765,0.207823,0,-0,0,0,0,0,0,-0,0,0.26765,0.00451776,0.207822,0,-0,0,-0.0498071,0.29827,0.149229,0,-3.18055e-15,0,0.126003,0.30124,0.285743,0,-0,0,-0.0498067,0.762164,0.149227,0,-0,0,0.126004,0.765135,0.285741,
 ,3.73955e-15,-1.41342e-17,89.9988,0.315448,-1.02682e-06,9.81728e-07,4.49802e-15,4.49794e-15,-89.999,-0.312285,-0.270571,0.204033,0,-0,0,0,0,0,0,-0,0,0.27057,0.0031576,0.204034,0,-0,0,-0.0502453,0.295783,0.156299,0,-3.18055e-15,0,0.12749,0.297859,0.290337,0,-0,0,-0.0502446,0.759677,0.156297,0,-0,0,0.127489,0.761753,0.290335,
 ,3.73955e-15,-1.41342e-17,89.9988,0.315448,1.71121e-06,-2.56036e-06,4.49802e-15,4.49794e-15,-89.999,-0.321326,-0.265371,0.210693,0,-0,0,0,0,0,0,-0,0,0.26537,-0.00588196,0.210694,0,-0,0,-0.0347383,0.299465,0.149915,0,-3.18055e-15,0,0.139438,0.295608,0.288208,0,-0,0,-0.0347415,0.763359,0.149918,0,-0,0,0.139436,0.759503,0.28821,
 ,3.73955e-15,-1.41342e-17,89.9988,0.315448,8.70484e-07,-1.80999e-06,4.49802e-15,4.49794e-15,-89.999,-0.316766,-0.261771,0.215227,0,-0,0,0,0,0,0,-0,0,0.26177,-0.00132216,0.215227,0,-0,0,-0.0425049,0.300034,0.146142,0,-3.18055e-15,0,0.129307,0.299167,0.287413,0,-0,0,-0.0425066,0.763928,0.146146,0,-0,0,0.129256,0.76306,0.28753,
 ,3.73955e-15,-1.41342e-17,89.9988,0.31544,-6.42832e-06,1.30335e-05,4.49802e-15,4.49794e-15,-89.999,-0.312715,-0.264805,0.21146,0,-0,0,0,0,0,0,-0,0,0.264807,0.00271844,0.211453,0,-0,0,-0.0474408,0.299264,0.146756,0,-3.18055e-15,0,0.126505,0.301042,0.285633,0,-0,0,-0.0474282,0.763155,0.146739,0,-0,0,0.126515,0.764931,0.285618,
 ,3.73955e-15,-1.41342e-17,89.9988,0.315448,7.30062e-07,-1.37506e-06,4.49802e-15,4.49794e-15,-89.999,-0.318662,-0.261168,0.215939,0,-0,0,0,0,0,0,-0,0,0.261167,-0.00321845,0.21594,0,-0,0,-0.0375191,0.301338,0.143411,0,-3.18055e-15,0,0.13395,0.299228,0.285186,0,-0,0,-0.0375205,0.765232,0.143412,0,-0,0,0.133949,0.763122,0.285187,
 ,3.73955e-15,-1.41342e-17,89.9988,0.315447,1.60931e-06,-2.54826e-06,4.49802e-15,4.49794e-15,-89.999,-0.315515,-0.261751,0.215257,0,-0,0,0,0,0,0,-0,0,0.261751,-7.12158e-05,0.215258,0,-0,0,-0.0412634,0.301455,0.142006,0,-3.18055e-15,0,0.130537,0.301409,0.283291,0,-0,0,-0.0412656,0.765348,0.142009,0,-0,0,0.130536,0.765302,0.283293,
 ,3.73955e-15,-1.41342e-17,89.9988,0.315448,-1.15792e-07,-2.10419e-07,4.49802e-15,4.49794e-15,-89.999,-0.311992,-0.26745,0.208107,0,-0,0,0,0,0,0,-0,0,0.26745,0.00345135,0.208106,0,-0,0,-0.0474625,0.298799,0.148269,0,-3.18055e-15,0,0.128222,0.301063,0.284974,0,-0,0,-0.0474621,0.762693,0.14827,0,-0,0,0.128223,0.764958,0.284974,
 ,3.73955e-15,-1.41342e-17,89.9988,0.315448,-1.06267e-06,6.78636e-07,4.49802e-15,4.49794e-15,-89.999,-0.314211,-0.261975,0.214982,0,-0,0,0,0,0,0,-0,0,0.261976,0.00123137,0.214982,0,-0,0,-0.0467366,0.299591,0.146038,0,-3.18055e-15,0,0.125351,0.300393,0.287247,0,-0,0,-0.0467361,0.763485,0.146038,0,-0,0,0.125351,0.764287,0.287246,
 ,3.73955e-15,-1.41342e-17,89.9988,0.315447,-6.13357e-07,-8.03934e-07,4.49802e-15,4.49794e-15,-89.999,-0.313269,-0.26988,0.204968,0,-0,0,0,0,0,0,-0,0,0.26988,0.00217323,0.204968,0,-0,0,-0.0488903,0.296057,0.155776,0,-3.18055e-15,0,0.134893,0.30142,0.281258,0,-0,0,-0.0488874,0.759952,0.155773,0,-0,0,0.134893,0.765314,0.281259,
 ,3.73955e-15,-1.41342e-17,89.9988,0.315451,7.85758e-06,-1.04911e-05,4.49802e-15,4.49794e-15,-89.999,-0.315696,-0.257453,0.220382,0,-0,0,0,0,0,0,-0,0,0.257453,-0.000253081,0.220382,0,-0,0,-0.046966,0.299949,0.144856,0,-3.18055e-15,0,0.122083,0.299782,0.289571,0,-0,0,-0.0469671,0.763844,0.144858,0,-0,0,0.122082,0.763676,0.289572,
 ,3.73955e-15,-1.41342e-17,89.9988,0.315452,-1.64031e-05,1.91837e-05,4.49802e-15,4.49794e-15,-89.999,-0.315584,-0.268288,0.20706,0,-0,0,0,0,0,0,-0,0,0.268288,-0.00014227,0.20706,0,-0,0,-0.0439614,0.297696,0.152483,0,-3.18055e-15,0,0.132186,0.297596,0.288469,0,-0,0,-0.043959,0.761591,0.152481,0,-0,0,0.132188,0.76149,0.288468,
 ,3.73955e-15,-1.41342e-17,89.9988,0.315469,-1.85558e-05,1.57002e-05,4.49802e-15,4.49794e-15,-89.999,-0.313042,-0.265132,0.211072,0,-0,0,0,0,0,0,-0,0,0.265133,0.00240195,0.211072,0,-0,0,-0.0486961,0.298221,0.149512,0,-3.18055e-15,0,0.125407,0.299794,0.288121,0,-0,0,-0.0486927,0.762117,0.14951,0,-0,0,0.125409,0.763689,0.28812,
 ,3.73955e-15,-1.41342e-17,89.9988,0.315438,-3.3744e-06,5.14188e-06,4.49802e-15,4.49794e-15,-89.999,-0.311955,-0.270153,0.20459,0,-0,0,0,0,0,0,-0,0,0.270153,0.00348751,0.204589,0,-0,0,-0.0500663,0.296232,0.154779,0,-3.18055e-15,0,0.127408,0.298531,0.289191,0,-0,0,-0.0500662,0.760126,0.154778,0,-0,0,0.127408,0.762425,0.289191,
 ,3.73955e-15,-1.41342e-17,89.9988,0.315422,-8.41794e-06,1.77046e-06,4.49802e-15,4.49794e-15,-89.999,-0.312961,-0.267722,0.207794,0,-0,0,0,0,0,0,-0,0,0.267749,0.0024593,0.207768,0,-0,0,-0.0479033,0.297613,0.151145,0,-3.18055e-15,0,0.132503,0.300714,0.283466,0,-0,0,-0.047875,0.761492,0.151128,0,-0,0,0.132503,0.764607,0.283466,
 ,3.73955e-15,-1.41342e-17,89.9988,0.315448,-1.15752e-06,2.13279e-06,4.49802e-15,4.49794e-15,-89.999,-0.314466,-0.26639,0.209496,0,-0,0,0,0,0,0,-0,0,0.266376,0.000960793,0.209489,0,-0,0,-0.0456184,0.298331,0.149949,0,-3.18055e-15,0,0.127788,0.298307,0.289259,0,-0,0,-0.0458129,0.762189,0.150036,0,-0,0,0.127788,0.762201,0.289258,
 ,3.73955e-15,-1.41342e-17,89.9988,0.315448,-9.40936e-07,2.20649e-07,4.49802e-15,4.49794e-15,-89.999,-0.309784,-0.270963,0.203476,0,-0,0,0,0,0,0,-0,0,0.270962,0.00565813,0.203476,0,-0,0,-0.0489116,0.298137,0.149554,0,-3.18055e-15,0,0.129074,0.301854,0.283213,0,-0,0,-0.0489104,0.762031,0.149553,0,-0,0,0.129075,0.765748,0.283212,
 ,3.73955e-15,-1.41342e-17,89.9988,0.315448,-4.69817e-07,-4.30827e-08,4.49802e-15,4.49794e-15,-89.999,-0.312736,-0.272809,0.201057,0,-0,0,0,0,0,0,-0,0,0.272809,0.00270824,0.201057,0,-0,0,-0.0452709,0.29721,0.153381,0,-3.18055e-15,0,0.133962,0.298996,0.285475,0,-0,0,-0.045271,0.761105,0.15338,0,-0,0,0.133962,0.762891,0.285475,
 ,3.73955e-15,-1.41342e-17,89.9988,0.315449,-2.30608e-06,1.77411e-06,4.49802e-15,4.49794e-15,-89.999,-0.313559,-0.26507,0.211166,0,-0,0,0,0,0,0,-0,0,0.265071,0.00188255,0.211166,0,-0,0,-0.0457749,0.299364,0.146813,0,-3.18055e-15,0,0.128332,0.300596,0.285511,0,-0,0,-0.0457693,0.76326,0.146811,0,-0,0,0.128338,0.76449,0.285509,
 ,3.73955e-15,-1.41342e-17,89.9988,0.315464,-1.12861e-05,6.60239e-06,4.49802e-15,4.49794e-15,-89.999,-0.311834,-0.269245,0.205801,0,-0,0,0,0,0,0,-0,0,0.269244,0.00360593,0.205804,0,-0,0,-0.048521,0.297529,0.15148,0,-3.18055e-15,0,0.128338,0.299859,0.286732,0,-0,0,-0.0485143,0.761426,0.15149,0,-0,0,0.128342,0.763749,0.286747,
 ,3.73955e-15,-1.41342e-17,89.9988,0.315448,-4.00976e-07,3.34879e-07,4.49802e-15,4.49794e-15,-89.999,-0.313023,-0.269128,0.205966,0,-0,0,0,0,0,0,-0,0,0.269127,0.0024209,0.205965,0,-0,0,-0.0477346,0.29714,0.152778,0,-3.18055e-15,0,0.129065,0.298731,0.288091,0,-0,0,-0.0477354,0.761034,0.152778,0,-0,0,0.129064,0.762626,0.288091,
