REFERENCE FRAME,left_hand_1
TARGET FRAMES, , , ,left_elbow_1 , , ,  , , ,right_elbow_1 , , ,  , , ,left_hand_1 , , ,  , , ,right_hand_1 , , ,  , , ,left_knee_1 , , ,  , , ,right_knee_1 , , ,  , , ,left_foot_1 , , ,  , , ,right_foot_1 , , , 
 ,Rotation_X, Rotation_Y, Rotation_Z, Dist_X, Dist_Y, Dist_Z,Rotation_X, Rotation_Y, Rotation_Z, Dist_X, Dist_Y, Dist_Z,Rotation_X, Rotation_Y, Rotation_Z, Dist_X, Dist_Y, Dist_Z,Rotation_X, Rotation_Y, Rotation_Z, Dist_X, Dist_Y, Dist_Z,Rotation_X, Rotation_Y, Rotation_Z, Dist_X, Dist_Y, Dist_Z,Rotation_X, Rotation_Y, Rotation_Z, Dist_X, Dist_Y, Dist_Z,Rotation_X, Rotation_Y, Rotation_Z, Dist_X, Dist_Y, Dist_Z,Rotation_X, Rotation_Y, Rotation_Z, Dist_X, Dist_Y, Dist_Z,
 ,1.88346e-310,-7.9489e-308,-7.96755e-308,6.95322e-310,6.93678e-310,1.93102e-312,-nan,nan,-nan,6.95322e-310,6.6629e-317,6.95322e-310,7.94896e-308,-7.94896e-308,-1.17761e-319,6.67461e-317,6.67451e-317,6.67642e-317,7.94896e-308,7.9678e-308,0,1.97626e-323,2.07508e-322,6.93678e-310,-7.11144e-315,1.88349e-310,-3.50768e-314,6.93678e-310,6.95322e-310,6.95322e-310,-1.8752e-310,7.94875e-308,0,6.95322e-310,6.95322e-310,1.95906e-314,-1.88351e-310,7.94896e-308,7.96772e-308,0,6.95322e-310,0,-2.98929e-319,3.97021e-308,1.88349e-310,7.1854e-315,0.1,6.95322e-310,
 ,-19.7627,-67.1532,95.9385,0.319858,3.2264e-05,-2.67261e-06,-14.1858,41.9495,-90.6864,-0.335622,-0.262633,-0.391928,0,-0,0,0,0,0,0,-0,0,0.457416,0.0160201,-0.115416,12.903,-13.6687,-9.45501,0.103588,0.222141,0.00524427,5.57126,-5.81577,-4.86233,0.32646,0.228831,-0.0933199,0,-0,0,-0.00313268,0.64262,-0.140836,0,-0,0,0.258861,0.666704,-0.185787,
 ,-26.9132,-67.1504,102.146,0.319759,8.51689e-06,1.57313e-05,-14.5595,41.9733,-92.178,-0.334811,-0.246198,-0.391042,0,-0,0,0,0,0,0,-0,0,0.444849,0.0261561,-0.123177,11.8121,-14.3477,-9.4895,0.101222,0.226849,-0.00203656,2.32071,-6.48305,-6.72754,0.336475,0.215947,-0.123874,0,-0,0,-0.00829825,0.648016,-0.135499,0,-0,0,0.243159,0.671533,-0.179621,
 ,-21.7301,-66.7777,97.7744,0.31972,1.48301e-05,8.17519e-07,-15.8401,43.3362,-96.4994,-0.3769,-0.224269,-0.392479,0,-0,0,0,0,0,0,-0,0,0.436127,0.00475387,-0.131796,11.7498,-13.7982,-10.5445,0.103388,0.218438,0.00282895,1.96562,-5.88876,-7.50848,0.335238,0.205435,-0.129248,0,-0,0,-0.0154236,0.641638,-0.126637,0,-0,0,0.235081,0.665619,-0.177121,
 ,-19.9757,-68.171,96.4986,0.31975,7.16648e-06,-1.57393e-05,-15.365,41.5157,-95.4466,-0.358001,-0.234783,-0.38935,0,-0,0,0,0,0,0,-0,0,0.435782,0.0203677,-0.133592,12.0074,-15.1636,-11.6715,0.113007,0.208793,0.00748396,1.24306,-7.41223,-7.80346,0.336608,0.195008,-0.124832,0,-0,0,-0.0154331,0.634229,-0.122733,0,-0,0,0.230784,0.658957,-0.170263,
 ,-24.8652,-69.2855,102.139,0.319764,3.1441e-06,1.24811e-05,-14.3065,40.6787,-93.0824,-0.351819,-0.237157,-0.385785,0,-0,0,0,0,0,0,-0,0,0.432358,0.0152297,-0.137594,12.0796,-15.8022,-11.9104,0.106181,0.215096,0.00526081,1.43501,-8.22624,-7.62009,0.325798,0.200854,-0.119256,0,-0,0,-0.0262169,0.639003,-0.123575,0,-0,0,0.220056,0.662069,-0.168969,
 ,-24.5951,-70.9065,103.416,0.319778,-3.11412e-08,-7.39702e-08,-12.5998,39.9124,-91.4616,-0.341174,-0.241076,-0.390472,0,-0,0,0,0,0,0,-0,0,0.435808,0.0166636,-0.144361,12.1526,-16.5275,-11.7125,0.0978809,0.22326,0.00255939,1.79404,-9.06775,-7.20394,0.317549,0.212132,-0.117907,0,-0,0,-0.0340224,0.645002,-0.125846,0,-0,0,0.213303,0.669348,-0.174481,
 ,-24.8266,-71.154,103.06,0.319785,-1.10029e-05,2.07682e-05,-11.4416,39.3052,-91.2538,-0.34758,-0.235382,-0.398627,0,-0,0,0,0,0,0,-0,0,0.43507,0.00938221,-0.160321,13.4106,-16.6148,-11.6802,0.0929636,0.21824,0.00457815,1.87284,-9.53303,-7.47255,0.31384,0.206501,-0.121142,0,-0,0,-0.036712,0.637029,-0.135711,0,-0,0,0.205502,0.664011,-0.179142,
 ,-25.3416,-71.1944,103.569,0.319834,-9.96614e-07,1.24034e-06,-11.0977,39.238,-91.594,-0.344783,-0.230158,-0.399781,0,-0,0,0,0,0,0,-0,0,0.431613,0.0132727,-0.164196,12.18,-17.4029,-11.6231,0.100757,0.220796,-0.00503817,1.41029,-9.60573,-7.67042,0.314771,0.206416,-0.127809,0,-0,0,-0.0319455,0.641503,-0.133612,0,-0,0,0.202837,0.666061,-0.1804,
 ,-25.842,-69.9915,104.086,0.319835,1.63446e-07,-8.35326e-08,-11.7887,40.2346,-92.0254,-0.345813,-0.221604,-0.398546,0,-0,0,0,0,0,0,-0,0,0.427198,0.0150522,-0.16093,12.3504,-16.6935,-11.5343,0.105315,0.222077,-0.00329902,0.639521,-8.60809,-7.56683,0.313638,0.205436,-0.133683,0,-0,0,-0.0265306,0.643318,-0.13624,0,-0,0,0.204977,0.666909,-0.17369,
