REFERENCE FRAME,torso_1
TARGET FRAMES, , , ,left_elbow_1 , , , , , , ,right_elbow_1 , , , , , , ,left_hand_1 , , , , , , ,right_hand_1 , , , , , , ,left_knee_1 , , , , , , ,right_knee_1 , , , , , , ,left_foot_1 , , , , , , ,right_foot_1 , , , ,
 ,Quat_x, Quat_Y, Quat_Z, Quat_W, Dist_X, Dist_Y, Dist_Z,Quat_x, Quat_Y, Quat_Z, Quat_W, Dist_X, Dist_Y, Dist_Z,Quat_x, Quat_Y, Quat_Z, Quat_W, Dist_X, Dist_Y, Dist_Z,Quat_x, Quat_Y, Quat_Z, Quat_W, Dist_X, Dist_Y, Dist_Z,Quat_x, Quat_Y, Quat_Z, Quat_W, Dist_X, Dist_Y, Dist_Z,Quat_x, Quat_Y, Quat_Z, Quat_W, Dist_X, Dist_Y, Dist_Z,Quat_x, Quat_Y, Quat_Z, Quat_W, Dist_X, Dist_Y, Dist_Z,Quat_x, Quat_Y, Quat_Z, Quat_W, Dist_X, Dist_Y, Dist_Z,
 ,3.57146e-313,-3.47306e-310,-3.47655e-310,0.5,6.95331e-310,6.94616e-310,1.93102e-312,-nan,3.47665e-310,3.47665e-310,0.5,6.95331e-310,1.91248e-316,6.95331e-310,3.47308e-310,-3.47308e-310,-5.13828e-322,0.5,1.91365e-316,1.91364e-316,1.91383e-316,3.47308e-310,3.47665e-310,0,0.5,1.97626e-323,2.07508e-322,6.94616e-310,-3.09385e-317,3.57157e-313,-1.53051e-316,0.5,6.94616e-310,6.95331e-310,6.95331e-310,-3.48972e-313,3.47307e-310,0,0.5,6.95331e-310,6.95331e-310,1.95906e-314,-3.57168e-313,3.47308e-310,3.47657e-310,0.5,0,6.95331e-310,0,-1.38338e-321,2.02537e-310,3.57157e-313,0.5,7.15011e-315,0.1,6.95331e-310,
 ,0.0140461,-0.253738,0.611603,0.749241,-0.0395488,-0.195268,-0.163482,0.0834082,0.463141,-0.529377,0.705906,0.0633593,-0.175604,-0.167073,0.0225217,0.997349,0.069168,0.00210865,0.297449,0.297057,-0.000625497,0.0225217,0.997349,0.069168,0.00210865,-0.23087,0.324445,-0.17724,0.0870232,-0.0629983,-0.0483246,0.993037,-0.0431124,0.68367,0.0906983,0.0955191,-0.0687225,-0.0649116,0.990929,0.198246,0.591898,0.0986394,0.0225217,0.997349,0.069168,0.00210865,0.200862,1.07945,0.244709,0.0286715,0.997509,0.0644149,0.0021049,-0.0179193,0.947929,0.228327,
 ,0.0195562,-0.283949,0.608736,0.740562,-0.0197525,-0.193836,-0.155547,0.0145331,0.377091,-0.579345,0.722461,0.0213692,-0.200143,-0.119554,0.0108917,0.996933,0.0760161,-0.0150673,0.277631,0.291387,-0.0325193,0.0108917,0.996933,0.0760161,-0.0150673,-0.245381,0.284503,-0.12688,-0.228577,0.0486732,0.136841,0.962631,-0.234988,0.612341,-0.074974,0.133289,-0.0626131,-0.0492277,0.987872,0.150677,0.609709,0.164024,0.0108917,0.996933,0.0760161,-0.0150673,-0.0261199,1.04552,-0.243109,0.0108917,0.996933,0.0760161,-0.0150673,-0.0190099,1.02486,0.291454,
 ,-0.049849,-0.247923,0.609081,0.751711,-0.0296018,-0.20019,-0.115325,0.0636349,0.336236,-0.621837,0.704426,0.0275412,-0.203496,-0.13317,-0.000541923,0.99817,0.0501759,-0.0337466,0.262467,0.291167,-0.075019,-0.000541923,0.99817,0.0501759,-0.0337466,-0.250792,0.301788,-0.0803713,-0.170525,0.044717,0.163187,0.970717,-0.301774,0.60623,-0.0831283,0.265618,-0.0677085,-0.0431659,0.960728,0.145003,0.590637,0.280535,-0.000541923,0.99817,0.0501759,-0.0337466,-0.057677,1.07492,-0.162734,-0.000541923,0.99817,0.0501759,-0.0337466,-0.0477063,0.893387,0.333426,
 ,-0.115485,-0.257338,0.604586,0.744927,-0.071027,-0.200801,-0.0882911,0.162758,0.425281,-0.586284,0.670013,0.0245019,-0.15728,-0.196868,-0.00581215,0.996655,0.0643396,-0.0500501,0.246982,0.324689,-0.131353,-0.00581215,0.996655,0.0643396,-0.0500501,-0.248198,0.31305,-0.0524794,0.307106,-0.0707282,-0.0197391,0.948838,-0.10868,0.577613,0.365442,0.296318,-0.0634058,-0.0356914,0.952314,0.127638,0.568597,0.35186,-0.00581215,0.996655,0.0643396,-0.0500501,0.166767,0.994478,0.393129,-0.00462562,0.99719,0.0611327,-0.0430461,-0.0566017,0.872056,0.322964,
 ,0.00787914,-0.312082,0.599018,0.737373,-0.0776963,-0.196631,-0.106917,0.173535,0.365397,-0.598048,0.691888,-0.0229232,-0.1574,-0.188518,-0.00535294,0.997364,0.00603925,-0.0721151,0.227175,0.321443,-0.190005,-0.00535294,0.997364,0.00603925,-0.0721151,-0.256967,0.241599,-0.0158457,-0.0164625,0.0656075,0.112259,0.991374,-0.224144,0.670164,0.00631577,0.347974,-0.0831695,0.0194681,0.933605,0.0720031,0.598384,0.36799,-0.00535294,0.997364,0.00603925,-0.0721151,0.00860536,0.919665,-0.0113291,-0.00535294,0.997364,0.00603925,-0.0721151,-0.0903573,0.799224,0.254608,
 ,-0.00210478,-0.356856,0.598154,0.717539,-0.0164992,-0.206151,-0.0904397,0.150532,0.337366,-0.606009,0.70447,-0.0311328,-0.164317,-0.187613,-0.00497498,0.996627,0.0369799,-0.0730916,0.202539,0.265624,-0.19449,-0.00497498,0.996627,0.0369799,-0.0730916,-0.261374,0.247932,0.014564,-0.0138601,0.0663361,0.0957995,0.993091,-0.18928,0.638394,0.00794673,0.189012,-0.149667,-0.0366636,0.969809,0.103247,0.430086,0.352232,-0.00497498,0.996627,0.0369799,-0.0730916,-0.00656558,0.993018,0.051363,-0.00497498,0.996627,0.0369799,-0.0730916,-0.0934841,0.883443,0.0887831,
 ,0.163145,-0.509326,0.519231,0.666611,-0.0777707,-0.13792,-0.147532,0.13217,0.344003,-0.609144,0.702237,0.0204181,-0.156287,-0.178307,-0.014251,0.995676,0.0691049,-0.0604252,0.140044,0.347124,-0.204764,-0.014251,0.995676,0.0691049,-0.0604252,-0.253582,0.304605,0.00553679,0.0421434,0.0678143,0.0717269,0.994224,-0.163462,0.661962,0.108575,0.0488345,-0.147248,-0.0549801,0.986362,0.121196,0.53789,0.284454,-0.014251,0.995676,0.0691049,-0.0604252,0.013673,0.952482,0.115082,-0.00852884,0.995184,0.0686715,-0.0694255,-0.107283,1.00066,-0.00775739,
 ,0.312915,-0.590051,0.46359,0.582243,-0.059926,-0.0587658,-0.17131,0.120768,0.307177,-0.626925,0.705707,0.00796221,-0.170828,-0.166439,-0.0077269,0.997381,0.0452919,-0.0558514,0.108117,0.351899,-0.159494,-0.0077269,0.997381,0.0452919,-0.0558514,-0.250668,0.293716,0.00400403,0.0550077,0.0684632,0.0769925,0.993156,-0.172489,0.660206,0.0864978,-0.0909407,-0.144246,-0.0448079,0.984335,0.11246,0.646053,0.0891788,-0.0112361,0.996863,0.0514419,-0.0590914,0.0223189,0.919716,0.12131,-0.0112043,0.996868,0.0513861,-0.059062,-0.11427,1.06716,-0.13907,
 ,-0.444948,0.674511,-0.347799,-0.475491,-0.055206,0.0163647,-0.16961,0.109198,0.314994,-0.617224,0.712663,0.0249825,-0.169617,-0.164935,-0.00310722,0.996548,0.0632947,-0.0536355,0.0950389,0.360776,-0.121019,-0.00310722,0.996548,0.0632947,-0.0536355,-0.251708,0.306271,0.00154043,0.108289,0.0660512,0.0736619,0.989184,-0.149456,0.653551,0.142389,-0.0456279,-0.137377,-0.0198433,0.989268,0.0620558,0.648321,0.189705,-0.00310722,0.996548,0.0632947,-0.0536355,0.0220175,0.936171,0.193142,0.00190167,0.997251,0.0566561,-0.0477272,-0.101042,0.973027,-0.139454,
