REFERENCE FRAME,left_hip_1
TARGET FRAMES, , , ,left_elbow_1 , , ,  , , ,right_elbow_1 , , ,  , , ,left_hand_1 , , ,  , , ,right_hand_1 , , ,  , , ,left_knee_1 , , ,  , , ,right_knee_1 , , ,  , , ,left_foot_1 , , ,  , , ,right_foot_1 , , , 
 ,Rotation_X, Rotation_Y, Rotation_Z, Dist_X, Dist_Y, Dist_Z,Rotation_X, Rotation_Y, Rotation_Z, Dist_X, Dist_Y, Dist_Z,Rotation_X, Rotation_Y, Rotation_Z, Dist_X, Dist_Y, Dist_Z,Rotation_X, Rotation_Y, Rotation_Z, Dist_X, Dist_Y, Dist_Z,Rotation_X, Rotation_Y, Rotation_Z, Dist_X, Dist_Y, Dist_Z,Rotation_X, Rotation_Y, Rotation_Z, Dist_X, Dist_Y, Dist_Z,Rotation_X, Rotation_Y, Rotation_Z, Dist_X, Dist_Y, Dist_Z,Rotation_X, Rotation_Y, Rotation_Z, Dist_X, Dist_Y, Dist_Z,
 ,4.25636e-310,-7.92472e-308,-7.9671e-308,6.95282e-310,6.91567e-310,1.93102e-312,-nan,nan,-nan,6.95282e-310,9.67011e-317,6.95282e-310,7.92478e-308,-7.92478e-308,-1.17761e-319,9.68181e-317,9.68172e-317,9.68288e-317,7.92478e-308,7.96734e-308,0,1.97626e-323,2.07508e-322,6.91567e-310,-7.11144e-315,4.25639e-310,-3.50768e-314,6.91567e-310,6.95282e-310,6.95282e-310,-4.24496e-310,7.92468e-308,0,6.95282e-310,6.95282e-310,1.95906e-314,-4.25641e-310,7.92478e-308,7.96723e-308,0,6.95282e-310,0,-2.98929e-319,1.77895e-308,4.25639e-310,7.16863e-315,0.1,6.95282e-310,
 ,4.25636e-310,-7.92472e-308,-7.9671e-308,6.95282e-310,6.91567e-310,1.93102e-312,-nan,nan,-nan,6.95282e-310,9.67011e-317,6.95282e-310,7.92478e-308,-7.92478e-308,-1.17761e-319,9.68181e-317,9.68172e-317,9.68288e-317,7.92478e-308,7.96734e-308,0,1.97626e-323,2.07508e-322,6.91567e-310,-7.11144e-315,4.25639e-310,-3.50768e-314,6.91567e-310,6.95282e-310,6.95282e-310,-4.24496e-310,7.92468e-308,0,6.95282e-310,6.95282e-310,1.95906e-314,-4.25641e-310,7.92478e-308,7.96723e-308,0,6.95282e-310,0,-2.98929e-319,1.77895e-308,4.25639e-310,7.16863e-315,0.1,6.95282e-310,
 ,4.25636e-310,-7.92472e-308,-7.9671e-308,6.95282e-310,6.91567e-310,1.93102e-312,-nan,nan,-nan,6.95282e-310,9.67011e-317,6.95282e-310,7.92478e-308,-7.92478e-308,-1.17761e-319,9.68181e-317,9.68172e-317,9.68288e-317,7.92478e-308,7.96734e-308,0,1.97626e-323,2.07508e-322,6.91567e-310,-7.11144e-315,4.25639e-310,-3.50768e-314,6.91567e-310,6.95282e-310,6.95282e-310,-4.24496e-310,7.92468e-308,0,6.95282e-310,6.95282e-310,1.95906e-314,-4.25641e-310,7.92478e-308,7.96723e-308,0,6.95282e-310,0,-2.98929e-319,1.77895e-308,4.25639e-310,7.16863e-315,0.1,6.95282e-310,
 ,47.4205,-15.3409,56.1482,-0.391977,-0.227415,0.209309,78.6633,43.9766,-81.0612,-0.30407,-0.2954,-0.172219,96.0676,-25.4409,4.98154,-0.691125,-0.0317936,0.298637,96.0677,-25.4409,4.98151,0.282897,-0.0847462,0.178328,102.382,-8.42065e-06,-1.66557e-05,-1.95839e-06,-0.0905678,0.412545,123.009,-39.4999,-18.86,0.151808,-0.208855,0.437144,96.0677,-25.4409,4.9815,-0.190776,0.317551,0.341547,96.0677,-25.4409,4.9815,0.217761,0.335544,0.288745,
 ,46.5637,-16.6274,56.9404,-0.412219,-0.21649,0.192286,79.9645,42.6744,-80.5804,-0.293952,-0.294585,-0.172509,96.5092,-26.7125,4.96645,-0.703009,-0.0196428,0.305302,96.5091,-26.7125,4.96637,0.28115,-0.0747086,0.182161,102.717,7.37035e-06,-2.46708e-05,4.48171e-07,-0.0939567,0.416329,123.555,-39.5681,-19.9533,0.150966,-0.209859,0.433931,96.509,-26.7125,4.96635,-0.200007,0.313136,0.342093,96.509,-26.7125,4.96635,0.207102,0.335199,0.291099,
 ,44.475,-15.6376,56.3314,-0.402186,-0.204514,0.192568,77.4447,43.4769,-81.2851,-0.285611,-0.300748,-0.174525,94.9205,-25.4769,4.90312,-0.686598,-0.0191683,0.310569,94.9207,-25.4767,4.90204,0.285839,-0.0675736,0.188107,100.805,5.86173e-05,-0.000190948,3.43405e-07,-0.0797873,0.41806,122.905,-38.9823,-19.4499,0.152296,-0.206924,0.443698,94.9207,-25.4766,4.90182,-0.194208,0.325902,0.347649,94.9207,-25.4766,4.90182,0.216355,0.34496,0.290091,
 ,43.2985,-14.9292,54.5274,-0.409271,-0.176756,0.187019,73.3287,44.1936,-83.8944,-0.286813,-0.304887,-0.170075,95.0869,-24.9491,4.87516,-0.684446,-0.0194619,0.313246,95.0872,-24.9491,4.87496,0.284465,-0.0649094,0.193815,101.516,-1.59817e-06,-9.70727e-05,2.11073e-07,-0.0856356,0.4203,124.587,-38.2689,-19.745,0.153542,-0.218224,0.44287,95.0873,-24.9491,4.87485,-0.190536,0.32442,0.348812,95.0873,-24.9491,4.87485,0.219664,0.341223,0.284852,
 ,44.8197,-12.9293,61.5739,-0.333095,-0.21554,0.217161,67.2995,44.157,-88.3137,-0.292727,-0.306134,-0.163586,94.7321,-24.5022,4.40884,-0.614668,-0.00597596,0.321099,94.7321,-24.5019,4.40842,0.281629,-0.0609703,0.196567,100.727,0.000134066,-0.000155312,5.74361e-07,-0.079625,0.420305,124.193,-37.6219,-19.6863,0.155664,-0.214315,0.446036,94.7321,-24.5018,4.40822,-0.186208,0.329159,0.351828,94.7321,-24.5018,4.40822,0.222198,0.345982,0.285505,
 ,37.3377,-16.6426,68.9421,-0.314624,-0.233095,0.169631,64.889,44.9663,-89.4736,-0.292884,-0.309829,-0.173847,94.2298,-23.7068,4.13783,-0.563729,-0.0175795,0.365804,94.2301,-23.7065,4.13763,0.291809,-0.058639,0.197035,99.8043,0.000770998,-0.000398596,3.69849e-06,-0.0722372,0.418118,126.648,-36.2446,-21.1265,0.15707,-0.233031,0.445584,94.2302,-23.7064,4.13756,-0.179918,0.33468,0.353668,94.2302,-23.7064,4.13756,0.22469,0.343379,0.27632,
 ,25.6715,-14.2147,79.5418,-0.299785,-0.211353,0.129,64.8195,44.7756,-89.2193,-0.287972,-0.308785,-0.183942,92.8927,-23.541,3.9365,-0.481628,-0.0102129,0.419843,92.8922,-23.5409,3.93662,0.299458,-0.0502467,0.194593,98.9761,3.46777e-05,4.15248e-05,5.31598e-07,-0.0668734,0.423368,121.987,-36.7024,-19.3578,0.157476,-0.202317,0.465063,92.892,-23.5409,3.93666,-0.178973,0.344574,0.355541,92.892,-23.5409,3.93666,0.227646,0.363425,0.29765,
