REFERENCE FRAME,left_hand_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TARGET FRAMES, , , ,left_elbow_1 , , ,  , , ,right_elbow_1 , , ,  , , ,left_hand_1 , , ,  , , ,right_hand_1 , , ,  , , ,left_knee_1 , , ,  , , ,right_knee_1 , , ,  , , ,left_foot_1 , , ,  , , ,right_foot_1 , , , 
 ,Rotation_X, Rotation_Y, Rotation_Z, Dist_X, Dist_Y, Dist_Z,Rotation_X, Rotation_Y, Rotation_Z, Dist_X, Dist_Y, Dist_Z,Rotation_X, Rotation_Y, Rotation_Z, Dist_X, Dist_Y, Dist_Z,Rotation_X, Rotation_Y, Rotation_Z, Dist_X, Dist_Y, Dist_Z,Rotation_X, Rotation_Y, Rotation_Z, Dist_X, Dist_Y, Dist_Z,Rotation_X, Rotation_Y, Rotation_Z, Dist_X, Dist_Y, Dist_Z,Rotation_X, Rotation_Y, Rotation_Z, Dist_X, Dist_Y, Dist_Z,Rotation_X, Rotation_Y, Rotation_Z, Dist_X, Dist_Y, Dist_Z,
 ,4.16679e-310,-7.92607e-308,-7.96755e-308,6.95321e-310,6.91685e-310,1.93102e-312,-nan,nan,-nan,6.95321e-310,1.80684e-316,6.95321e-310,7.92613e-308,-7.92613e-308,-1.17761e-319,1.80801e-316,1.808e-316,1.80812e-316,7.92613e-308,7.9678e-308,0,1.97626e-323,2.07508e-322,6.91685e-310,-7.11144e-315,4.16682e-310,-3.50768e-314,6.91685e-310,6.95321e-310,6.95321e-310,-4.15864e-310,7.92589e-308,0,6.95321e-310,6.95321e-310,1.95906e-314,-4.16684e-310,7.92613e-308,7.96772e-308,0,6.95321e-310,0,-2.98929e-319,2.66325e-308,4.16682e-310,7.16863e-315,0.1,6.95321e-310,
 ,4.16679e-310,-7.92607e-308,-7.96755e-308,6.95321e-310,6.91685e-310,1.93102e-312,-nan,nan,-nan,6.95321e-310,1.80684e-316,6.95321e-310,7.92613e-308,-7.92613e-308,-1.17761e-319,1.80801e-316,1.808e-316,1.80812e-316,7.92613e-308,7.9678e-308,0,1.97626e-323,2.07508e-322,6.91685e-310,-7.11144e-315,4.16682e-310,-3.50768e-314,6.91685e-310,6.95321e-310,6.95321e-310,-4.15864e-310,7.92589e-308,0,6.95321e-310,6.95321e-310,1.95906e-314,-4.16684e-310,7.92613e-308,7.96772e-308,0,6.95321e-310,0,-2.98929e-319,2.66325e-308,4.16682e-310,7.16863e-315,0.1,6.95321e-310,
 ,4.16679e-310,-7.92607e-308,-7.96755e-308,6.95321e-310,6.91685e-310,1.93102e-312,-nan,nan,-nan,6.95321e-310,1.80684e-316,6.95321e-310,7.92613e-308,-7.92613e-308,-1.17761e-319,1.80801e-316,1.808e-316,1.80812e-316,7.92613e-308,7.9678e-308,0,1.97626e-323,2.07508e-322,6.91685e-310,-7.11144e-315,4.16682e-310,-3.50768e-314,6.91685e-310,6.95321e-310,6.95321e-310,-4.15864e-310,7.92589e-308,0,6.95321e-310,6.95321e-310,1.95906e-314,-4.16684e-310,7.92613e-308,7.96772e-308,0,6.95321e-310,0,-2.98929e-319,2.66325e-308,4.16682e-310,7.16863e-315,0.1,6.95321e-310,
 ,-48.7275,0.976619,63.3584,0.285186,7.42956E-006,-1.71233E-006,7.6697,65.4501,-71.0321,-0.186267,-0.258286,-0.612072,0,0,0,0,0,0,0,0,0,0.674495,0.0301684,-0.000542754,-1.10742E-014,12.0914,-1.39663E-014,0.291631,-0.0441122,0.256573,-5.11003E-015,-11.9802,-1.22559E-014,0.496991,0.0206225,0.485042,0,0,0,0.231416,0.366055,0.311969,0,0,0,0.586848,0.43079,0.371315,
 ,-37.8997,3.62997,74.1153,0.278519,4.1911E-006,-3.43079E-006,1.54638,65.071,-76.3504,-0.278818,-0.248215,-0.537493,0,0,0,0,0,0,0,0,0,0.591859,-0.0314766,-0.000993421,-1.81275E-014,11.6342,-2.10289E-014,0.211909,-0.104733,0.277748,1.36965E-014,-12.8432,-7.94281E-015,0.419153,-0.0484441,0.471166,0,0,0,0.151544,0.305434,0.314776,0,0,0,0.513399,0.361724,0.366208,
 ,-22.7451,6.27168,77.9741,0.277598,1.93367E-006,-0.000005033,-5.8364,64.8325,-83.0071,-0.332059,-0.284141,-0.47179,0,0,0,0,0,0,0,0,0,0.545625,-0.0647595,0.0454694,-1.88327E-014,11.8024,-2.75266E-014,0.182925,-0.134952,0.331948,7.09859E-015,-11.3609,-7.09859E-015,0.377142,-0.0851553,0.492806,0,0,0,0.111161,0.275216,0.362344,0,0,0,0.46683,0.325012,0.408857,
 ,-14.7711,4.70623,79.7278,0.278962,0.000003696,-1.72306E-006,-12.5231,62.5341,-88.7057,-0.343874,-0.316055,-0.418002,0,0,0,0,0,0,0,0,0,0.516234,-0.0620572,0.0751553,-1.20576E-014,13.5289,-2.06473E-014,0.176755,-0.129573,0.364454,6.42505E-015,-9.33112,-5.24347E-016,0.366369,-0.091393,0.502507,0,0,0,0.0865996,0.280588,0.395689,0,0,0,0.442999,0.318775,0.436455,
 ,-14.6995,1.75832,80.7255,0.279645,7.21024E-008,3.80535E-006,-15.7348,59.7294,-91.3695,-0.346108,-0.321487,-0.393462,0,0,0,0,0,0,0,0,0,0.502301,-0.0521714,0.0684681,-2.03063E-014,16.7683,-2.87121E-014,0.176047,-0.103177,0.349518,6.39116E-015,-6.41528,-3.58177E-016,0.376925,-0.0795568,0.471329,0,0,0,0.0677268,0.306989,0.385449,0,0,0,0.427258,0.330608,0.426301,
 ,-16.7843,1.02269,78.2012,0.279643,-1.03325E-007,0.000000839,-17.6905,55.9027,-91.7104,-0.331697,-0.342289,-0.386325,0,0,0,0,0,0,0,0,0,0.512129,-0.0344844,0.0597061,-1.09951E-014,18.3707,-8.22166E-015,0.184458,-0.0999293,0.334205,6.62547E-015,-4.48564,-6.62547E-015,0.393255,-0.0765916,0.451498,0,0,0,0.0697287,0.310239,0.375308,0,0,0,0.427362,0.333577,0.419359,
 ,-19.0023,0.149715,77.111,0.279689,-0.000001393,3.7694E-006,-16.9799,55.1979,-90.7366,-0.323637,-0.332981,-0.399801,0,0,0,0,0,0,0,0,0,0.518442,-0.0252698,0.0397451,-2.71184E-015,18.6016,-1.65587E-014,0.183913,-0.0931737,0.31414,-6.78851E-015,-3.7501,1.29513E-014,0.401242,-0.0709626,0.427866,0,0,0,0.0741001,0.316998,0.356394,0,0,0,0.428369,0.339207,0.400705,
