REFERENCE FRAME,torso_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TARGET FRAMES, , , ,left_elbow_1 , , ,  , , ,right_elbow_1 , , ,  , , ,left_hand_1 , , ,  , , ,right_hand_1 , , ,  , , ,left_knee_1 , , ,  , , ,right_knee_1 , , ,  , , ,left_foot_1 , , ,  , , ,right_foot_1 , , , 
 ,Rotation_X, Rotation_Y, Rotation_Z, Dist_X, Dist_Y, Dist_Z,Rotation_X, Rotation_Y, Rotation_Z, Dist_X, Dist_Y, Dist_Z,Rotation_X, Rotation_Y, Rotation_Z, Dist_X, Dist_Y, Dist_Z,Rotation_X, Rotation_Y, Rotation_Z, Dist_X, Dist_Y, Dist_Z,Rotation_X, Rotation_Y, Rotation_Z, Dist_X, Dist_Y, Dist_Z,Rotation_X, Rotation_Y, Rotation_Z, Dist_X, Dist_Y, Dist_Z,Rotation_X, Rotation_Y, Rotation_Z, Dist_X, Dist_Y, Dist_Z,Rotation_X, Rotation_Y, Rotation_Z, Dist_X, Dist_Y, Dist_Z,
 ,1.62815e-311,-7.96571e-308,-7.96716e-308,6.95287e-310,6.95145e-310,1.93102e-312,-nan,nan,-nan,6.95287e-310,1.20662e-316,6.95287e-310,7.96577e-308,-7.96577e-308,-1.17761e-319,1.20779e-316,1.20778e-316,1.20796e-316,7.96577e-308,7.9674e-308,0,1.97626e-323,2.07508e-322,6.95145e-310,-7.11144e-315,1.62841e-311,-3.50768e-314,6.95145e-310,6.95287e-310,6.95287e-310,-1.45777e-311,7.96577e-308,0,6.95287e-310,6.95287e-310,1.95906e-314,-1.62865e-311,7.96577e-308,7.96723e-308,0,6.95287e-310,0,-2.98929e-319,5.49249e-308,1.62841e-311,7.16034e-315,0.1,6.95287e-310,
 ,1.62815e-311,-7.96571e-308,-7.96716e-308,6.95287e-310,6.95145e-310,1.93102e-312,-nan,nan,-nan,6.95287e-310,1.20662e-316,6.95287e-310,7.96577e-308,-7.96577e-308,-1.17761e-319,1.20779e-316,1.20778e-316,1.20796e-316,7.96577e-308,7.9674e-308,0,1.97626e-323,2.07508e-322,6.95145e-310,-7.11144e-315,1.62841e-311,-3.50768e-314,6.95145e-310,6.95287e-310,6.95287e-310,-1.45777e-311,7.96577e-308,0,6.95287e-310,6.95287e-310,1.95906e-314,-1.62865e-311,7.96577e-308,7.96723e-308,0,6.95287e-310,0,-2.98929e-319,5.49249e-308,1.62841e-311,7.16034e-315,0.1,6.95287e-310,
 ,1.62815e-311,-7.96571e-308,-7.96716e-308,6.95287e-310,6.95145e-310,1.93102e-312,-nan,nan,-nan,6.95287e-310,1.20662e-316,6.95287e-310,7.96577e-308,-7.96577e-308,-1.17761e-319,1.20779e-316,1.20778e-316,1.20796e-316,7.96577e-308,7.9674e-308,0,1.97626e-323,2.07508e-322,6.95145e-310,-7.11144e-315,1.62841e-311,-3.50768e-314,6.95145e-310,6.95287e-310,6.95287e-310,-1.45777e-311,7.96577e-308,0,6.95287e-310,6.95287e-310,1.95906e-314,-1.62865e-311,7.96577e-308,7.96723e-308,0,6.95287e-310,0,-2.98929e-319,5.49249e-308,1.62841e-311,7.16034e-315,0.1,6.95287e-310,
 ,-51.3093,-28.4133,101.142,0.089722,-0.186448,-0.161532,-54.5321,33.3845,-105.308,-0.131957,-0.185792,-0.198667,7.55948,-2.52566,2.48595,-0.21756,0.178088,0.157764,7.55948,-2.52566,2.48595,0.207161,0.189421,0.153857,8.84119,4.04672,7.045,-0.129302,0.203771,0.502022,11.6403,-14.5986,-6.00675,0.113103,0.182312,0.521713,7.55948,-2.52566,2.48595,-0.134766,0.658811,0.478326,7.55948,-2.52566,2.48595,0.128746,0.668757,0.454261,
 ,-51.3093,-28.4133,101.142,0.089722,-0.186448,-0.161532,-54.5321,33.3845,-105.308,-0.131957,-0.185792,-0.198667,7.55948,-2.52566,2.48595,-0.21756,0.178088,0.157764,7.55948,-2.52566,2.48595,0.207161,0.189421,0.153857,8.84119,4.04672,7.045,-0.129302,0.203771,0.502022,11.6403,-14.5986,-6.00675,0.113103,0.182312,0.521713,7.55948,-2.52566,2.48595,-0.134766,0.658811,0.478326,7.55948,-2.52566,2.48595,0.128746,0.668757,0.454261,
 ,-52.7417,-29.8818,102.775,0.112083,-0.185917,-0.167514,-54.1415,33.8029,-106.994,-0.125738,-0.179818,-0.195749,7.82394,-2.32901,1.68876,-0.216387,0.168247,0.147625,7.82394,-2.32901,1.68876,0.197348,0.1937,0.157883,8.75473,5.38581,6.33302,-0.125699,0.197373,0.493948,12.0562,-13.0502,-6.61012,0.116819,0.179589,0.517229,7.82394,-2.32901,1.68876,-0.1394,0.649667,0.471577,8.18422,-1.91047,1.57353,0.127293,0.662897,0.455349,
 ,-53.0253,-29.2061,101.801,0.107817,-0.188562,-0.165433,-53.5537,34.3485,-105.737,-0.115287,-0.183413,-0.194173,7.67132,-1.84899,1.66137,-0.217943,0.167474,0.153007,7.67132,-1.84899,1.66137,0.202981,0.194104,0.164224,8.75419,5.3874,6.33221,-0.125701,0.197359,0.493929,11.9534,-13.4712,-6.68594,0.116637,0.173728,0.510373,7.82346,-2.3275,1.68868,-0.139413,0.649648,0.471555,7.82331,-2.32701,1.68865,0.124896,0.658813,0.446151,
 ,-53.0253,-29.2061,101.801,0.107817,-0.188562,-0.165433,-53.5537,34.3485,-105.737,-0.115287,-0.183413,-0.194173,7.67132,-1.84899,1.66137,-0.217943,0.167474,0.153007,7.67132,-1.84899,1.66137,0.202981,0.194104,0.164224,9.44461,5.58362,6.38559,-0.125453,0.192761,0.501951,11.7168,-13.1141,-6.57034,0.116821,0.17766,0.511743,7.67132,-1.84899,1.66137,-0.137336,0.652302,0.470649,7.67132,-1.84899,1.66137,0.126962,0.662113,0.44767,
 ,-53.0253,-29.2061,101.801,0.107817,-0.188562,-0.165433,-53.5537,34.3485,-105.737,-0.115287,-0.183413,-0.194173,7.67132,-1.84899,1.66137,-0.217943,0.167474,0.153007,7.67132,-1.84899,1.66137,0.202981,0.194104,0.164224,9.44461,5.58362,6.38559,-0.125453,0.192761,0.501951,11.7168,-13.1141,-6.57034,0.116821,0.17766,0.511743,7.67132,-1.84899,1.66137,-0.137336,0.652302,0.470649,7.67132,-1.84899,1.66137,0.126962,0.662113,0.44767,
 ,-53.0253,-29.2061,101.801,0.107817,-0.188562,-0.165433,-53.5537,34.3485,-105.737,-0.115287,-0.183413,-0.194173,7.67132,-1.84899,1.66137,-0.217943,0.167474,0.153007,7.67132,-1.84899,1.66137,0.202981,0.194104,0.164224,9.44461,5.58362,6.38559,-0.125453,0.192761,0.501951,11.7168,-13.1141,-6.57034,0.116821,0.17766,0.511743,7.67132,-1.84899,1.66137,-0.137336,0.652302,0.470649,7.67132,-1.84899,1.66137,0.126962,0.662113,0.44767,
