REFERENCE FRAME,left_hip_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TARGET FRAMES, , , ,left_elbow_1 , , ,  , , ,right_elbow_1 , , ,  , , ,left_hand_1 , , ,  , , ,right_hand_1 , , ,  , , ,left_knee_1 , , ,  , , ,right_knee_1 , , ,  , , ,left_foot_1 , , ,  , , ,right_foot_1 , , , 
 ,Rotation_X, Rotation_Y, Rotation_Z, Dist_X, Dist_Y, Dist_Z,Rotation_X, Rotation_Y, Rotation_Z, Dist_X, Dist_Y, Dist_Z,Rotation_X, Rotation_Y, Rotation_Z, Dist_X, Dist_Y, Dist_Z,Rotation_X, Rotation_Y, Rotation_Z, Dist_X, Dist_Y, Dist_Z,Rotation_X, Rotation_Y, Rotation_Z, Dist_X, Dist_Y, Dist_Z,Rotation_X, Rotation_Y, Rotation_Z, Dist_X, Dist_Y, Dist_Z,Rotation_X, Rotation_Y, Rotation_Z, Dist_X, Dist_Y, Dist_Z,Rotation_X, Rotation_Y, Rotation_Z, Dist_X, Dist_Y, Dist_Z,
 ,6.22671e-310,-7.90522e-308,-7.9673e-308,6.95299e-310,6.89865e-310,1.93102e-312,-nan,nan,-nan,6.95299e-310,1.1453e-316,6.95299e-310,7.90528e-308,-7.90528e-308,-1.17761e-319,1.14647e-316,1.14646e-316,1.14658e-316,7.90528e-308,7.96754e-308,0,1.97626e-323,2.07508e-322,6.89866e-310,-7.11144e-315,6.22674e-310,-3.50768e-314,6.89866e-310,6.95299e-310,6.95299e-310,-6.21951e-310,7.90522e-308,0,6.95299e-310,6.95299e-310,1.95906e-314,-6.22676e-310,7.90528e-308,7.96747e-308,0,6.95299e-310,0,-2.98929e-319,3.64415e-308,6.22674e-310,7.16864e-315,0.1,6.95299e-310,
 ,6.22671e-310,-7.90522e-308,-7.9673e-308,6.95299e-310,6.89865e-310,1.93102e-312,-nan,nan,-nan,6.95299e-310,1.1453e-316,6.95299e-310,7.90528e-308,-7.90528e-308,-1.17761e-319,1.14647e-316,1.14646e-316,1.14658e-316,7.90528e-308,7.96754e-308,0,1.97626e-323,2.07508e-322,6.89866e-310,-7.11144e-315,6.22674e-310,-3.50768e-314,6.89866e-310,6.95299e-310,6.95299e-310,-6.21951e-310,7.90522e-308,0,6.95299e-310,6.95299e-310,1.95906e-314,-6.22676e-310,7.90528e-308,7.96747e-308,0,6.95299e-310,0,-2.98929e-319,3.64415e-308,6.22674e-310,7.16864e-315,0.1,6.95299e-310,
 ,6.22671e-310,-7.90522e-308,-7.9673e-308,6.95299e-310,6.89865e-310,1.93102e-312,-nan,nan,-nan,6.95299e-310,1.1453e-316,6.95299e-310,7.90528e-308,-7.90528e-308,-1.17761e-319,1.14647e-316,1.14646e-316,1.14658e-316,7.90528e-308,7.96754e-308,0,1.97626e-323,2.07508e-322,6.89866e-310,-7.11144e-315,6.22674e-310,-3.50768e-314,6.89866e-310,6.95299e-310,6.95299e-310,-6.21951e-310,7.90522e-308,0,6.95299e-310,6.95299e-310,1.95906e-314,-6.22676e-310,7.90528e-308,7.96747e-308,0,6.95299e-310,0,-2.98929e-319,3.64415e-308,6.22674e-310,7.16864e-315,0.1,6.95299e-310,
 ,-48.8292,-11.4678,106.2,-0.396903,-0.285895,0.111618,20.8901,42.7331,-91.2378,-0.16773,-0.110099,-0.0751816,-34.6416,-62.7614,49.9008,-0.725433,0.222414,0.0904958,-34.6419,-62.7609,49.9001,0.0277943,0.191309,0.0610413,27.2904,35.3691,25.4273,-0.0597065,0.385835,0.157416,138.686,64.7382,113.531,-0.139395,0.274236,0.0587825,-34.6447,-62.757,49.8937,-0.127856,0.790579,-0.109537,-34.6447,-62.757,49.8937,0.25775,0.642,-0.0725986,
 ,-47.9569,-8.0231,106.098,-0.391951,-0.281659,0.119536,22.9378,43.5653,-88.132,-0.160408,-0.107413,-0.0813379,-35.6772,-60.7018,49.7465,-0.7152,0.241201,0.0868332,-35.677,-60.7018,49.7459,0.0393181,0.201229,0.0575118,27.8004,36.9551,27.8628,-0.0696759,0.384341,0.156881,137.406,63.6291,112.803,-0.135294,0.271675,0.0559225,-35.6769,-60.7018,49.7456,-0.122616,0.789083,-0.120134,-35.6769,-60.7018,49.7456,0.260406,0.636191,-0.080025,
 ,-48.2546,-1.72052,103.146,-0.407013,-0.267189,0.132762,24.5979,46.6948,-84.0835,-0.16475,-0.0974669,-0.0728665,-36.1513,-56.7171,49.3681,-0.729464,0.237547,0.0805917,-36.1517,-56.7162,49.3685,0.0321029,0.193717,0.0463492,30.4347,39.6759,32.7601,-0.0819089,0.378869,0.164112,135.605,59.3779,112.107,-0.135811,0.267029,0.0629943,-36.1519,-56.7159,49.3686,-0.122765,0.783611,-0.136273,-36.1519,-56.7159,49.3686,0.260891,0.631629,-0.0807469,
 ,-49.2479,8.64209,101.711,-0.420481,-0.235636,0.138099,40.9744,48.9754,-70.1588,-0.225429,-0.0789812,-0.0786505,-38.9964,-52.3881,51.5212,-0.733221,0.242214,0.0753467,-38.9996,-52.3868,51.5236,0.0436693,0.108897,0.0727571,35.0109,41.8057,39.8668,-0.0974249,0.367812,0.180017,136.365,58.4773,112.216,-0.132221,0.276,0.0422008,-39.0004,-52.3865,51.5242,-0.125537,0.772556,-0.16167,-39.0004,-52.3865,51.5242,0.268231,0.631733,-0.106254,
 ,-47.2008,0.0166377,104.526,-0.383309,-0.252625,0.140607,42.6299,49.9554,-73.3617,-0.284957,-0.0750678,-0.0939435,-35.5866,-55.7923,49.9024,-0.700718,0.229507,0.0996348,-35.5855,-55.7942,49.903,0.0437233,0.0485713,0.102583,31.9369,39.4035,33.8165,-0.0813695,0.375444,0.172054,142.1,65.0153,116.791,-0.141261,0.281148,0.00525114,-35.5853,-55.7944,49.9031,-0.131388,0.780183,-0.137698,-35.5853,-55.7944,49.9031,0.266037,0.638384,-0.109036,
 ,-36.8418,-16.1413,114.713,-0.256583,-0.306198,0.136607,31.9088,42.5548,-82.9136,-0.239812,-0.0756555,-0.0899421,-29.1484,-60.114,51.4275,-0.598563,0.22074,0.107202,-29.1467,-60.1164,51.4251,0.0525086,0.0916176,0.0804385,43.8299,45.6107,33.8254,0.00401279,0.368234,0.203935,154.428,71.9321,123.136,-0.150903,0.309792,-0.0301144,-29.1416,-60.1231,51.4181,-0.176582,0.772986,-0.102129,-29.1416,-60.1231,51.4181,0.252517,0.675372,-0.117347,
 ,-23.7156,-23.4289,118.793,-0.0968364,-0.275916,0.156153,13.1769,36.4267,-90.0454,-0.247958,-0.082185,-0.106504,-23.485,-63.7588,42.8297,-0.425771,0.24436,0.0830486,-23.4817,-63.7606,42.8246,0.0682553,0.0916617,0.0888078,36.5584,47.7596,26.5538,0.0148887,0.385429,0.168552,171.78,75.954,144.542,-0.165072,0.328602,-0.0616602,-23.4805,-63.7613,42.8228,-0.152099,0.790174,-0.0741556,-23.4805,-63.7613,42.8228,0.251166,0.702806,-0.108172,
