REFERENCE FRAME,left_hand_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TARGET FRAMES, , , ,left_elbow_1 , , ,  , , ,right_elbow_1 , , ,  , , ,left_hand_1 , , ,  , , ,right_hand_1 , , ,  , , ,left_knee_1 , , ,  , , ,right_knee_1 , , ,  , , ,left_foot_1 , , ,  , , ,right_foot_1 , , , 
 ,Rotation_X, Rotation_Y, Rotation_Z, Dist_X, Dist_Y, Dist_Z,Rotation_X, Rotation_Y, Rotation_Z, Dist_X, Dist_Y, Dist_Z,Rotation_X, Rotation_Y, Rotation_Z, Dist_X, Dist_Y, Dist_Z,Rotation_X, Rotation_Y, Rotation_Z, Dist_X, Dist_Y, Dist_Z,Rotation_X, Rotation_Y, Rotation_Z, Dist_X, Dist_Y, Dist_Z,Rotation_X, Rotation_Y, Rotation_Z, Dist_X, Dist_Y, Dist_Z,Rotation_X, Rotation_Y, Rotation_Z, Dist_X, Dist_Y, Dist_Z,Rotation_X, Rotation_Y, Rotation_Z, Dist_X, Dist_Y, Dist_Z,
 ,5.99769e-310,-7.90722e-308,-7.96701e-308,6.95274e-310,6.9004e-310,1.93102e-312,-nan,nan,-nan,6.95274e-310,1.8461e-316,6.95274e-310,7.90727e-308,-7.90727e-308,-1.17761e-319,1.84727e-316,1.84726e-316,1.84738e-316,7.90728e-308,7.96725e-308,0,1.97626e-323,2.07508e-322,6.9004e-310,-7.11144e-315,5.99772e-310,-3.50768e-314,6.9004e-310,6.95274e-310,6.95274e-310,-5.99521e-310,7.90717e-308,0,6.95274e-310,6.95274e-310,1.95906e-314,-5.99774e-310,7.90728e-308,7.96723e-308,0,6.95274e-310,0,-2.98929e-319,2.85364e-308,5.99772e-310,7.16865e-315,0.1,6.95274e-310,
 ,5.99769e-310,-7.90722e-308,-7.96701e-308,6.95274e-310,6.9004e-310,1.93102e-312,-nan,nan,-nan,6.95274e-310,1.8461e-316,6.95274e-310,7.90727e-308,-7.90727e-308,-1.17761e-319,1.84727e-316,1.84726e-316,1.84738e-316,7.90728e-308,7.96725e-308,0,1.97626e-323,2.07508e-322,6.9004e-310,-7.11144e-315,5.99772e-310,-3.50768e-314,6.9004e-310,6.95274e-310,6.95274e-310,-5.99521e-310,7.90717e-308,0,6.95274e-310,6.95274e-310,1.95906e-314,-5.99774e-310,7.90728e-308,7.96723e-308,0,6.95274e-310,0,-2.98929e-319,2.85364e-308,5.99772e-310,7.16865e-315,0.1,6.95274e-310,
 ,5.99769e-310,-7.90722e-308,-7.96701e-308,6.95274e-310,6.9004e-310,1.93102e-312,-nan,nan,-nan,6.95274e-310,1.8461e-316,6.95274e-310,7.90727e-308,-7.90727e-308,-1.17761e-319,1.84727e-316,1.84726e-316,1.84738e-316,7.90728e-308,7.96725e-308,0,1.97626e-323,2.07508e-322,6.9004e-310,-7.11144e-315,5.99772e-310,-3.50768e-314,6.9004e-310,6.95274e-310,6.95274e-310,-5.99521e-310,7.90717e-308,0,6.95274e-310,6.95274e-310,1.95906e-314,-5.99774e-310,7.90728e-308,7.96723e-308,0,6.95274e-310,0,-2.98929e-319,2.85364e-308,5.99772e-310,7.16865e-315,0.1,6.95274e-310,
 ,-79.6065,19.9584,51.3981,0.278923,2.49641E-005,-9.3119E-007,-64.0113,74.594,-138.786,-0.39194,-0.00506449,-0.638238,0,0,0,0,0,0,0,0,0,0.634325,0.0658335,-0.0943668,-0.833353,39.3358,-0.653398,0.0637017,0.282204,-0.159974,-75.1424,13.463,-5.43603,0.466299,0.134646,-0.183218,0,0,0,0.144602,0.686913,-0.0783154,0,0,0,0.444595,0.227721,0.53876,
 ,-79.5229,13.9843,57.5446,0.298019,9.17833E-007,6.83061E-007,-60.5656,72.6538,-133.789,-0.378324,-0.00323171,-0.609883,0,0,0,0,0,0,0,0,0,0.598735,0.0858704,-0.109745,-0.142057,46.3287,-0.150523,-0.026764,0.202895,-0.103005,-73.7574,13.098,-7.45529,0.425307,0.106058,-0.190689,0,0,0,0.0549148,0.605875,-0.0901371,0,0,0,0.389654,0.257472,0.507941,
 ,-90.8531,21.311,46.462,0.300354,6.28335E-007,1.53585E-007,-61.9659,71.6918,-134.523,-0.38308,-0.00908626,-0.616431,0,0,0,0,0,0,0,0,0,0.605273,0.0930261,-0.108372,-0.08213,33.8136,-0.0887157,0.0770893,0.377657,-0.249735,-73.0659,12.1592,-8.14161,0.43453,0.104909,-0.189166,0,0,0,0.201973,0.780813,-0.164111,0,0,0,0.390055,0.269022,0.507778,
 ,-92.3506,21.8976,45.9291,0.301202,1.92787E-006,7.43455E-007,-65.4731,71.9236,-137.65,-0.375125,-0.00370221,-0.597647,0,0,0,0,0,0,0,0,0,0.585851,0.0998675,-0.0972158,-0.0521371,24.6429,-0.057202,0.129362,0.434105,-0.325584,-72.6739,11.1639,-6.63508,0.42552,0.129976,-0.18172,0,0,0,0.252534,0.837279,-0.241519,0,0,0,0.389459,0.275688,0.519844,
 ,-94.1744,23.0642,44.0927,0.301288,0.000000186,-7.20766E-007,-67.2995,70.5687,-138.385,-0.380572,-0.0177881,-0.582498,0,0,0,0,0,0,0,0,0,0.572967,0.101745,-0.0852163,-0.0347836,17.9586,-0.0386387,0.176,0.443588,-0.374781,-73.5268,10.8904,-7.67073,0.416728,0.114174,-0.175033,0,0,0,0.282437,0.846735,-0.301914,0,0,0,0.370866,0.263565,0.514362,
 ,-94.6032,23.5027,42.854,0.301301,-4.02666E-007,-6.70943E-007,-67.1803,69.0901,-137.245,-0.393413,-0.0369681,-0.569269,0,0,0,0,0,0,0,0,0,0.564873,0.0937044,-0.0778181,-46.3822,40.2236,-32.8361,-0.0792461,0.060117,-0.13495,-73.9541,10.0248,-9.69766,0.407608,0.0924658,-0.162811,0,0,0,-0.131077,0.41315,0.0163408,0,0,0,0.341849,0.25473,0.506127,
 ,-94.015,28.7677,40.1687,0.301124,-6.66141E-007,-7.18923E-007,-69.2949,68.4428,-138.084,-0.416577,-0.0579312,-0.549967,0,0,0,0,0,0,0,0,0,0.557233,0.0687505,-0.0622192,-72.3967,22.4715,-44.205,-0.0540565,0.00401018,-0.18084,-73.3325,9.97156,-10.2275,0.409256,0.0968665,-0.135504,0,0,0,-0.220354,0.347447,0.146357,0,0,0,0.33275,0.237641,0.518022,
 ,-92.5633,30.422,40.9738,0.301267,2.17426E-008,-2.39896E-007,-74.296,68.3966,-142.157,-0.433768,-0.0502273,-0.540236,0,0,0,0,0,0,0,0,0,0.552148,0.0590062,-0.0598088,-66.1619,22.2512,-39.4595,-0.00663393,0.0147487,-0.277412,-73.1362,9.43536,-10.5432,0.409018,0.0897842,-0.124313,0,0,0,-0.145444,0.456982,0.145893,0,0,0,0.328134,0.230619,0.514357,
 ,-90.7532,29.5013,43.8133,0.301245,5.39778E-006,2.38744E-006,-76.126,67.7608,-142.866,-0.420643,-0.0536601,-0.518562,0,0,0,0,0,0,0,0,0,0.528254,0.0689203,-0.0471632,-46.2235,21.0194,-26.0688,0.0921086,0.0995025,-0.429509,-72.1321,8.91684,-9.75005,0.395762,0.112115,-0.126409,0,0,0,0.0252158,0.665421,0.043416,0,0,0,0.318776,0.250451,0.522881,
