REFERENCE FRAME,torso_1
TARGET FRAMES, , , ,left_elbow_1 , , ,  , , ,right_elbow_1 , , ,  , , ,left_hand_1 , , ,  , , ,right_hand_1 , , ,  , , ,left_knee_1 , , ,  , , ,right_knee_1 , , ,  , , ,left_foot_1 , , ,  , , ,right_foot_1 , , , 
 ,Rotation_X, Rotation_Y, Rotation_Z, Dist_X, Dist_Y, Dist_Z,Rotation_X, Rotation_Y, Rotation_Z, Dist_X, Dist_Y, Dist_Z,Rotation_X, Rotation_Y, Rotation_Z, Dist_X, Dist_Y, Dist_Z,Rotation_X, Rotation_Y, Rotation_Z, Dist_X, Dist_Y, Dist_Z,Rotation_X, Rotation_Y, Rotation_Z, Dist_X, Dist_Y, Dist_Z,Rotation_X, Rotation_Y, Rotation_Z, Dist_X, Dist_Y, Dist_Z,Rotation_X, Rotation_Y, Rotation_Z, Dist_X, Dist_Y, Dist_Z,Rotation_X, Rotation_Y, Rotation_Z, Dist_X, Dist_Y, Dist_Z,
 ,1.32364e-310,-7.95462e-308,-7.96767e-308,6.95331e-310,6.94176e-310,1.93102e-312,1.32364e-310,-7.95462e-308,-7.96767e-308,6.95331e-310,8.91729e-317,6.95331e-310,1.32364e-310,-7.95462e-308,-7.96767e-308,8.929e-317,8.9289e-317,8.93078e-317,1.32364e-310,-7.95462e-308,-7.96767e-308,1.97626e-323,2.07508e-322,6.94176e-310,1.32364e-310,-7.95462e-308,-7.96767e-308,6.94176e-310,6.95331e-310,6.95331e-310,1.32364e-310,-7.95462e-308,-7.96767e-308,6.95331e-310,6.95331e-310,1.95906e-314,1.32364e-310,-7.95462e-308,-7.96767e-308,0,6.95331e-310,0,1.32364e-310,-7.95462e-308,-7.96767e-308,7.15651e-315,0.1,6.95331e-310,
 ,-2.02414,-37.5677,78.5209,-0.0933806,-0.119703,-0.191542,-2.02414,-37.5677,78.5209,0.0884871,-0.17872,-0.178043,-2.02414,-37.5677,78.5209,-0.269265,0.393412,-0.0258237,-2.02414,-37.5677,78.5209,0.249359,0.396741,0.0660987,-2.02414,-37.5677,78.5209,-0.140777,0.673282,-0.0291839,-2.02414,-37.5677,78.5209,0.227176,0.598226,0.24228,-2.02414,-37.5677,78.5209,-0.0609952,1.10781,0.149073,-2.02414,-37.5677,78.5209,0.0147828,1.04234,-0.299618,
 ,-9.84909,-38.451,80.3586,-0.0768686,-0.128171,-0.189915,-9.84909,-38.451,80.3586,0.0793483,-0.162469,-0.170771,-9.84909,-38.451,80.3586,-0.248609,0.385949,0.0434403,-9.84909,-38.451,80.3586,0.254183,0.380514,0.00238483,-9.84909,-38.451,80.3586,-0.161174,0.674095,0.0319451,-9.84909,-38.451,80.3586,0.10294,0.536775,0.412735,-9.84909,-38.451,80.3586,-0.0514343,1.11971,0.0738883,-9.84909,-38.451,80.3586,0.00365963,1.0195,-0.297654,
 ,-18.1785,-39.5226,84.3911,-0.0683832,-0.140263,-0.185598,-18.1785,-39.5226,84.3911,0.108631,-0.153416,-0.172871,-18.1785,-39.5226,84.3911,-0.22484,0.382625,0.102232,-18.1785,-39.5226,84.3911,0.26965,0.396135,-0.016622,-18.1785,-39.5226,84.3911,-0.196266,0.669107,0.0070372,-18.1785,-39.5226,84.3911,0.131589,0.394719,0.52555,-18.1785,-39.5226,84.3911,-0.0416807,1.12328,0.0225881,-18.1785,-39.5226,84.3911,0.0255175,0.975735,-0.184914,
 ,-22.9217,-30.0916,87.9218,-0.0642665,-0.182305,-0.162013,-22.9217,-30.0916,87.9218,0.105278,-0.153231,-0.175218,-22.9217,-30.0916,87.9218,-0.218307,0.381705,0.122889,-22.9217,-30.0916,87.9218,0.271655,0.394192,-0.0223747,-22.9217,-30.0916,87.9218,-0.191237,0.669751,0.0209924,-22.9217,-30.0916,87.9218,0.133219,0.401003,0.526425,-22.9217,-30.0916,87.9218,-0.0390407,1.12355,0.013904,-22.9217,-30.0916,87.9218,0.0347525,0.988233,-0.142708,
 ,-33.5947,-36.4862,93.7972,-0.0500675,-0.183945,-0.177863,-33.5947,-36.4862,93.7972,0.0926698,-0.151544,-0.180893,-33.5947,-36.4862,93.7972,-0.203745,0.355634,0.172569,-33.5947,-36.4862,93.7972,0.278104,0.388237,-0.0430978,-33.5947,-36.4862,93.7972,-0.171935,0.66924,0.0747976,-33.5947,-36.4862,93.7972,0.132185,0.546974,0.364276,-33.5947,-36.4862,93.7972,-0.0335374,1.12159,-0.0277302,-33.5947,-36.4862,93.7972,0.069714,1.04935,0.010519,
 ,-32.3453,-36.3615,96.5132,-0.0650151,-0.171334,-0.161764,-32.3453,-36.3615,96.5132,0.0949365,-0.149743,-0.190891,-32.3453,-36.3615,96.5132,-0.192955,0.358857,0.160912,-32.3453,-36.3615,96.5132,0.282049,0.387597,-0.0819338,-32.3453,-36.3615,96.5132,-0.223423,0.648819,0.0471607,-32.3453,-36.3615,96.5132,0.144563,0.658683,0.0671003,-32.3453,-36.3615,96.5132,0.00302209,1.10586,-0.0985355,-32.3453,-36.3615,96.5132,0.0718572,1.08196,0.205293,
 ,-30.5454,-36.0788,95.6177,-0.0677138,-0.168087,-0.157779,-30.5454,-36.0788,95.6177,0.0921931,-0.151649,-0.190976,-30.5454,-36.0788,95.6177,-0.195903,0.360139,0.148705,-30.5454,-36.0788,95.6177,0.272981,0.390444,-0.091119,-30.5454,-36.0788,95.6177,-0.238241,0.641578,0.0629913,-30.5454,-36.0788,95.6177,0.166371,0.662065,0.00827577,-30.5454,-36.0788,95.6177,0.00999933,1.09933,-0.129008,-30.5454,-36.0788,95.6177,0.0641976,1.08829,0.214436,
 ,-20.1979,-34.6644,93.2104,-0.0705949,-0.152869,-0.166693,-20.1979,-34.6644,93.2104,0.10062,-0.156368,-0.185132,-20.1979,-34.6644,93.2104,-0.218123,0.367112,0.0686769,-20.1979,-34.6644,93.2104,0.253374,0.423894,-0.0357865,-20.1979,-34.6644,93.2104,-0.162697,0.643562,0.156782,-20.1979,-34.6644,93.2104,0.166233,0.669294,0.0214516,-20.1979,-34.6644,93.2104,-0.0246775,1.08301,-0.215138,-20.1979,-34.6644,93.2104,0.0610459,1.10808,0.150675,
 ,-14.2143,-33.9971,90.0855,-0.0681946,-0.143422,-0.175764,-14.2143,-33.9971,90.0855,0.0772891,-0.156894,-0.181123,-14.2143,-33.9971,90.0855,-0.23797,0.35844,0.0220983,-14.2143,-33.9971,90.0855,0.249576,0.407238,-0.00112402,-14.2143,-33.9971,90.0855,-0.172791,0.60485,0.266997,-14.2143,-33.9971,90.0855,0.189161,0.664469,0.0715682,-14.2143,-33.9971,90.0855,-0.0277551,1.05857,-0.252534,-14.2143,-33.9971,90.0855,0.0443124,1.11711,0.0770059,
