[0m[ INFO] [1435600674.373289317]: 3 , feetR: , 0 , 0 , 0 , 1 , feetD: , -0.156392 , 0.0420282 , -0.342756 ,  , elbowR: , 0.00579733 , -0.604019 , 0.79263 , -0.0828564 , elbowD: , 0.0442716 , -0.343116 , -0.302486 , [0m
[0m[ INFO] [1435600674.406557201]: 4 , feetR: , 0 , 0 , 0 , 1 , feetD: , -0.160646 , 0.0487977 , -0.333251 ,  , elbowR: , 0.0255471 , -0.606832 , 0.789053 , -0.0921833 , elbowD: , 0.0475671 , -0.347339 , -0.300625 , [0m
[0m[ INFO] [1435600674.439933587]: 5 , feetR: , 0 , 0 , 0 , 1 , feetD: , -0.170432 , 0.0631142 , -0.319294 ,  , elbowR: , 0.0730122 , -0.606265 , 0.785465 , -0.100781 , elbowD: , 0.0707986 , -0.343592 , -0.307524 , [0m
[0m[ INFO] [1435600674.473271509]: 6 , feetR: , 0 , 0 , 0 , 1 , feetD: , -0.168587 , 0.0606238 , -0.300006 ,  , elbowR: , 0.0984891 , -0.609867 , 0.779222 , -0.105712 , elbowD: , 0.0919525 , -0.348654 , -0.318148 , [0m
[0m[ INFO] [1435600674.506642759]: 7 , feetR: , 0 , 0 , 0 , 1 , feetD: , -0.169789 , 0.0592609 , -0.276313 ,  , elbowR: , 0.121893 , -0.614787 , 0.772736 , -0.10029 , elbowD: , 0.084718 , -0.358689 , -0.325467 , [0m
[0m[ INFO] [1435600674.539877773]: 8 , feetR: , 0 , 0 , 0 , 1 , feetD: , -0.172001 , 0.0574557 , -0.232403 ,  , elbowR: , 0.169322 , -0.502993 , 0.843226 , -0.0854277 , elbowD: , 0.0644561 , -0.444109 , -0.215334 , [0m
[0m[ INFO] [1435600674.573305112]: 9 , feetR: , 0 , 0 , 0 , 1 , feetD: , -0.171537 , 0.0487444 , -0.185816 ,  , elbowR: , 0.203977 , -0.495599 , 0.841247 , -0.0712631 , elbowD: , 0.0472927 , -0.463601 , -0.208029 , [0m
[0m[ INFO] [1435600674.606606324]: 10 , feetR: , 0 , 0 , 0 , 1 , feetD: , -0.175787 , 0.0424945 , -0.142869 ,  , elbowR: , 0.236943 , -0.490894 , 0.834146 , -0.0841547 , elbowD: , 0.0538772 , -0.469335 , -0.202279 , [0m
[0m[ INFO] [1435600674.639884367]: 11 , feetR: , 0 , 0 , 0 , 1 , feetD: , -0.174423 , 0.0232128 , -0.0787562 ,  , elbowR: , 0.254493 , -0.495906 , 0.825911 , -0.0847478 , elbowD: , 0.0582934 , -0.473079 , -0.203074 , [0m
[0m[ INFO] [1435600674.673272728]: 12 , feetR: , 0 , 0 , 0 , 1 , feetD: , -0.179987 , -0.0459181 , 0.00968777 ,  , elbowR: , 0.267011 , -0.490944 , 0.824192 , -0.0915806 , elbowD: , 0.0624774 , -0.473732 , -0.199039 , [0m
[0m[ INFO] [1435600674.706568013]: 13 , feetR: , 0 , 0 , 0 , 1 , feetD: , -0.185938 , -0.0493745 , 0.0761222 ,  , elbowR: , 0.28563 , -0.507083 , 0.807437 , -0.0965805 , elbowD: , 0.0535318 , -0.472888 , -0.210211 , [0m
