[0m[ INFO] [1435600750.481126094]: 3 , feetR: , 0 , 0 , 0 , 1 , feetD: , -0.145851 , -0.0209547 , -0.454529 ,  , elbowR: , -0.103903 , -0.537749 , 0.835975 , 0.034299 , elbowD: , -0.116449 , -0.329193 , -0.393251 , [0m
[0m[ INFO] [1435600750.514361454]: 4 , feetR: , 0 , 0 , 0 , 1 , feetD: , -0.144023 , -0.0305031 , -0.449319 ,  , elbowR: , -0.107708 , -0.517528 , 0.848714 , 0.0157909 , elbowD: , -0.110437 , -0.36151 , -0.362394 , [0m
[0m[ INFO] [1435600750.547780718]: 5 , feetR: , 0 , 0 , 0 , 1 , feetD: , -0.141235 , -0.0315025 , -0.438058 ,  , elbowR: , -0.0923129 , -0.506124 , 0.85743 , -0.0114504 , elbowD: , -0.080804 , -0.384691 , -0.347597 , [0m
[0m[ INFO] [1435600750.581038823]: 6 , feetR: , 0 , 0 , 0 , 1 , feetD: , -0.142539 , -0.028119 , -0.445606 ,  , elbowR: , -0.0762879 , -0.535077 , 0.841215 , -0.0151779 , elbowD: , -0.065525 , -0.387513 , -0.348249 , [0m
[0m[ INFO] [1435600750.614407043]: 7 , feetR: , 0 , 0 , 0 , 1 , feetD: , -0.147685 , -0.033635 , -0.448675 ,  , elbowR: , -0.0519593 , -0.551833 , 0.832228 , -0.0133262 , elbowD: , -0.0646199 , -0.380279 , -0.355003 , [0m
[0m[ INFO] [1435600750.647767009]: 8 , feetR: , 0 , 0 , 0 , 1 , feetD: , -0.142773 , -0.0395677 , -0.44467 ,  , elbowR: , -0.0730079 , -0.528519 , 0.845663 , -0.0138324 , elbowD: , -0.0654459 , -0.379812 , -0.35619 , [0m
[0m[ INFO] [1435600750.681084074]: 9 , feetR: , 0 , 0 , 0 , 1 , feetD: , -0.140261 , -0.0459297 , -0.439827 ,  , elbowR: , -0.06953 , -0.52118 , 0.849343 , -0.0464119 , elbowD: , -0.0326778 , -0.371145 , -0.359835 , [0m
[0m[ INFO] [1435600750.714313513]: 10 , feetR: , 0 , 0 , 0 , 1 , feetD: , -0.1374 , -0.0445886 , -0.417051 ,  , elbowR: , -0.0616712 , -0.453279 , 0.887899 , -0.0486911 , elbowD: , -0.0316895 , -0.416176 , -0.310807 , [0m
[0m[ INFO] [1435600750.747743356]: 11 , feetR: , 0 , 0 , 0 , 1 , feetD: , -0.137792 , -0.0363596 , -0.389681 ,  , elbowR: , -0.0635185 , -0.4683 , 0.880227 , -0.0431448 , elbowD: , -0.0492097 , -0.407111 , -0.322914 , [0m
[0m[ INFO] [1435600750.781124476]: 12 , feetR: , 0 , 0 , 0 , 1 , feetD: , -0.13588 , -0.0241293 , -0.369271 ,  , elbowR: , -0.0748446 , -0.49624 , 0.864787 , -0.0169643 , elbowD: , -0.0633055 , -0.381233 , -0.357278 , [0m
[0m[ INFO] [1435600750.814415995]: 13 , feetR: , 0 , 0 , 0 , 1 , feetD: , -0.140195 , -0.0243405 , -0.342727 ,  , elbowR: , -0.0788407 , -0.514686 , 0.853729 , -0.00535683 , elbowD: , -0.0776057 , -0.362947 , -0.375805 , [0m
