[0m[ INFO] [1435600834.487506050]: 3 , feetR: , 0 , 0 , 0 , 1 , feetD: , -0.199055 , 0.0454535 , 0.29406 ,  , elbowR: , -0.019817 , -0.687771 , 0.725656 , 0.00131853 , elbowD: , 0.0522579 , -0.388641 , -0.35748 , [0m
[0m[ INFO] [1435600834.520783151]: 4 , feetR: , 0 , 0 , 0 , 1 , feetD: , -0.197627 , 0.0418429 , 0.239044 ,  , elbowR: , -0.0650635 , -0.686139 , 0.722682 , -0.0520714 , elbowD: , 0.0488446 , -0.393135 , -0.360023 , [0m
[0m[ INFO] [1435600834.554158175]: 5 , feetR: , 0 , 0 , 0 , 1 , feetD: , -0.188237 , 0.0340193 , 0.169867 ,  , elbowR: , -0.0664701 , -0.692032 , 0.713638 , -0.0859871 , elbowD: , 0.0393745 , -0.393627 , -0.365687 , [0m
[0m[ INFO] [1435600834.587506539]: 6 , feetR: , 0 , 0 , 0 , 1 , feetD: , -0.176178 , 0.0219088 , 0.100499 ,  , elbowR: , -0.114471 , -0.693833 , 0.70439 , -0.0965816 , elbowD: , 0.0357864 , -0.394356 , -0.37441 , [0m
[0m[ INFO] [1435600834.620801470]: 7 , feetR: , 0 , 0 , 0 , 1 , feetD: , -0.168316 , 0.0193707 , 0.0282559 ,  , elbowR: , -0.0912025 , -0.694953 , 0.706075 , -0.100896 , elbowD: , 0.0370486 , -0.400987 , -0.371624 , [0m
[0m[ INFO] [1435600834.654126596]: 8 , feetR: , 0 , 0 , 0 , 1 , feetD: , -0.168183 , 0.0136971 , -0.0584291 ,  , elbowR: , -0.0824744 , -0.69217 , 0.710386 , -0.0972114 , elbowD: , 0.0263331 , -0.399727 , -0.372962 , [0m
[0m[ INFO] [1435600834.687459254]: 9 , feetR: , 0 , 0 , 0 , 1 , feetD: , -0.170577 , 0.0130761 , -0.143441 ,  , elbowR: , -0.121875 , -0.525408 , 0.838637 , -0.0760379 , elbowD: , 0.0273434 , -0.396366 , -0.368544 , [0m
[0m[ INFO] [1435600834.720842775]: 10 , feetR: , 0 , 0 , 0 , 1 , feetD: , -0.167677 , -0.00169951 , -0.227572 ,  , elbowR: , -0.133459 , -0.515005 , 0.843831 , -0.0700527 , elbowD: , 0.0370675 , -0.399228 , -0.364618 , [0m
[0m[ INFO] [1435600834.754108781]: 11 , feetR: , 0 , 0 , 0 , 1 , feetD: , -0.163394 , -0.00974531 , -0.308051 ,  , elbowR: , -0.125733 , -0.524504 , 0.838704 , -0.0752501 , elbowD: , 0.0414314 , -0.394179 , -0.370499 , [0m
[0m[ INFO] [1435600834.787520983]: 12 , feetR: , 0 , 0 , 0 , 1 , feetD: , -0.151716 , -0.0116737 , -0.373492 ,  , elbowR: , -0.141971 , -0.531541 , 0.831516 , -0.0767505 , elbowD: , 0.0427021 , -0.394798 , -0.367558 , [0m
[0m[ INFO] [1435600834.820834724]: 13 , feetR: , 0 , 0 , 0 , 1 , feetD: , -0.145405 , -0.0138049 , -0.421145 ,  , elbowR: , -0.141562 , -0.52763 , 0.83311 , -0.0865665 , elbowD: , 0.0523674 , -0.38874 , -0.364892 , [0m
[0m[ INFO] [1435600834.854212350]: 14 , feetR: , 0 , 0 , 0 , 1 , feetD: , -0.139631 , -0.0230902 , -0.447769 ,  , elbowR: , -0.132499 , -0.521729 , 0.837672 , -0.0924592 , elbowD: , 0.0512439 , -0.382258 , -0.365515 , [0m
[0m[ INFO] [1435600834.887487318]: 15 , feetR: , 0 , 0 , 0 , 1 , feetD: , -0.133391 , -0.027356 , -0.460303 ,  , elbowR: , -0.142109 , -0.512617 , 0.842111 , -0.0887522 , elbowD: , 0.0439703 , -0.378042 , -0.369934 , [0m
[0m[ INFO] [1435600834.920804086]: 16 , feetR: , 0 , 0 , 0 , 1 , feetD: , -0.131187 , -0.0314424 , -0.464231 ,  , elbowR: , -0.140687 , -0.511591 , 0.84139 , -0.102685 , elbowD: , 0.0576836 , -0.379913 , -0.365236 , [0m
[0m[ INFO] [1435600834.954103675]: 17 , feetR: , 0 , 0 , 0 , 1 , feetD: , -0.129108 , -0.030947 , -0.464991 ,  , elbowR: , -0.147989 , -0.508729 , 0.841884 , -0.102598 , elbowD: , 0.0542744 , -0.386053 , -0.357326 , [0m
[0m[ INFO] [1435600834.987514936]: 18 , feetR: , 0 , 0 , 0 , 1 , feetD: , -0.130169 , -0.0287673 , -0.458458 ,  , elbowR: , -0.120209 , -0.512074 , 0.843363 , -0.109862 , elbowD: , 0.0613162 , -0.387863 , -0.353175 , [0m
[0m[ INFO] [1435600835.020828454]: 19 , feetR: , 0 , 0 , 0 , 1 , feetD: , -0.13264 , -0.035445 , -0.436719 ,  , elbowR: , -0.0975067 , -0.50846 , 0.849021 , -0.105468 , elbowD: , 0.0596708 , -0.384788 , -0.355985 , [0m
[0m[ INFO] [1435600835.054115010]: 20 , feetR: , 0 , 0 , 0 , 1 , feetD: , -0.138305 , -0.0469603 , -0.417964 ,  , elbowR: , -0.088681 , -0.501948 , 0.852402 , -0.116597 , elbowD: , 0.0737571 , -0.379306 , -0.349871 , [0m
[0m[ INFO] [1435600835.087525705]: 21 , feetR: , 0 , 0 , 0 , 1 , feetD: , -0.134591 , -0.0319431 , -0.413122 ,  , elbowR: , -0.074834 , -0.501172 , 0.856679 , -0.0965823 , elbowD: , 0.0706645 , -0.372212 , -0.353343 , [0m
[0m[ INFO] [1435600835.120846103]: 22 , feetR: , 0 , 0 , 0 , 1 , feetD: , -0.141233 , -0.04117 , -0.373806 ,  , elbowR: , -0.0545568 , -0.500184 , 0.859715 , -0.0879232 , elbowD: , 0.0697176 , -0.367173 , -0.349707 , [0m
[0m[ INFO] [1435600835.154091644]: 23 , feetR: , 0 , 0 , 0 , 1 , feetD: , -0.147689 , -0.0558705 , -0.318614 ,  , elbowR: , -0.0658791 , -0.499297 , 0.859998 , -0.0822518 , elbowD: , 0.0384064 , -0.379794 , -0.341413 , [0m
[0m[ INFO] [1435600835.187497298]: 24 , feetR: , 0 , 0 , 0 , 1 , feetD: , -0.149617 , -0.0633884 , -0.275898 ,  , elbowR: , -0.0473169 , -0.498172 , 0.86253 , -0.0750163 , elbowD: , 0.0336569 , -0.379013 , -0.349965 , [0m
[0m[ INFO] [1435600835.220790542]: 25 , feetR: , 0 , 0 , 0 , 1 , feetD: , -0.152886 , -0.0645144 , -0.228255 ,  , elbowR: , -0.0441575 , -0.505178 , 0.858506 , -0.0762381 , elbowD: , 0.0505783 , -0.374839 , -0.354266 , [0m
