[0m[ INFO] [1435766577.717880443]: 3 , feetR: , 0 , 0 , 0 , 1 , feetD: , -0.368224 , 0.282318 , 0.37204 ,  , elbowR: , 0.177848 , 0.855023 , -0.369011 , 0.318019 , elbowD: , 0.0770187 , -0.358842 , -0.242183 , [0m
[0m[ INFO] [1435766577.751211865]: 4 , feetR: , 0 , 0 , 0 , 1 , feetD: , -0.365653 , 0.383681 , 0.293972 ,  , elbowR: , 0.175238 , 0.854052 , -0.368042 , 0.32316 , elbowD: , 0.0791023 , -0.354047 , -0.2387 , [0m
[0m[ INFO] [1435766577.784508925]: 5 , feetR: , 0 , 0 , 0 , 1 , feetD: , -0.374204 , 0.239931 , 0.387574 ,  , elbowR: , 0.175238 , 0.854052 , -0.368042 , 0.32316 , elbowD: , 0.0791023 , -0.354047 , -0.2387 , [0m
[0m[ INFO] [1435766577.817890368]: 6 , feetR: , 0 , 0 , 0 , 1 , feetD: , -0.363398 , 0.339356 , 0.297773 ,  , elbowR: , 0.172818 , 0.851657 , -0.368214 , 0.330505 , elbowD: , 0.0834101 , -0.348122 , -0.233386 , [0m
[0m[ INFO] [1435766577.851233389]: 7 , feetR: , 0 , 0 , 0 , 1 , feetD: , -0.355308 , 0.223857 , 0.379905 ,  , elbowR: , 0.169817 , 0.855055 , -0.367101 , 0.324469 , elbowD: , 0.08535 , -0.346687 , -0.23557 , [0m
[0m[ INFO] [1435766577.884482313]: 8 , feetR: , 0 , 0 , 0 , 1 , feetD: , -0.356598 , 0.219166 , 0.389088 ,  , elbowR: , 0.168673 , 0.856501 , -0.366383 , 0.322055 , elbowD: , 0.0850446 , -0.343002 , -0.237086 , [0m
[0m[ INFO] [1435766577.917884412]: 9 , feetR: , 0 , 0 , 0 , 1 , feetD: , -0.349106 , 0.349216 , 0.303225 ,  , elbowR: , 0.166146 , 0.857671 , -0.365141 , 0.321664 , elbowD: , 0.089741 , -0.342448 , -0.236036 , [0m
[0m[ INFO] [1435766577.951185331]: 10 , feetR: , 0 , 0 , 0 , 1 , feetD: , -0.348278 , 0.437233 , 0.222254 ,  , elbowR: , 0.165184 , 0.859086 , -0.364823 , 0.318732 , elbowD: , 0.0887316 , -0.342241 , -0.241263 , [0m
[0m[ INFO] [1435766577.984514678]: 11 , feetR: , 0 , 0 , 0 , 1 , feetD: , -0.345189 , 0.504198 , 0.155586 ,  , elbowR: , 0.165874 , 0.855776 , -0.363782 , 0.328324 , elbowD: , 0.0858747 , -0.340953 , -0.240019 , [0m
[0m[ INFO] [1435766578.017858110]: 12 , feetR: , 0 , 0 , 0 , 1 , feetD: , -0.344321 , 0.239872 , 0.401459 ,  , elbowR: , 0.169862 , 0.850768 , -0.364965 , 0.337848 , elbowD: , 0.0909441 , -0.341724 , -0.230702 , [0m
[0m[ INFO] [1435766578.051137912]: 13 , feetR: , 0 , 0 , 0 , 1 , feetD: , -0.348709 , 0.255441 , 0.39133 ,  , elbowR: , 0.169731 , 0.849574 , -0.369054 , 0.336473 , elbowD: , 0.087939 , -0.339152 , -0.232154 , [0m
[0m[ INFO] [1435766578.084353867]: 14 , feetR: , 0 , 0 , 0 , 1 , feetD: , -0.342446 , 0.274074 , 0.382214 ,  , elbowR: , 0.170687 , 0.849104 , -0.37344 , 0.332311 , elbowD: , 0.0874386 , -0.338648 , -0.232559 , [0m
[0m[ INFO] [1435766578.117865811]: 15 , feetR: , 0 , 0 , 0 , 1 , feetD: , -0.335834 , 0.260864 , 0.367464 ,  , elbowR: , 0.171177 , 0.848488 , -0.374749 , 0.332159 , elbowD: , 0.0894004 , -0.338059 , -0.231912 , [0m
[0m[ INFO] [1435766578.151154272]: 16 , feetR: , 0 , 0 , 0 , 1 , feetD: , -0.337012 , 0.298017 , 0.385696 ,  , elbowR: , 0.172696 , 0.846653 , -0.373632 , 0.337275 , elbowD: , 0.0941901 , -0.33793 , -0.226873 , [0m
[0m[ INFO] [1435766578.184513736]: 17 , feetR: , 0 , 0 , 0 , 1 , feetD: , -0.345839 , 0.429751 , 0.296732 ,  , elbowR: , 0.171777 , 0.847554 , -0.372949 , 0.336235 , elbowD: , 0.0977426 , -0.335489 , -0.228991 , [0m
[0m[ INFO] [1435766578.217857636]: 18 , feetR: , 0 , 0 , 0 , 1 , feetD: , -0.344751 , 0.530955 , 0.223446 ,  , elbowR: , 0.172455 , 0.850308 , -0.370192 , 0.331954 , elbowD: , 0.105397 , -0.336053 , -0.22654 , [0m
[0m[ INFO] [1435766578.251222847]: 19 , feetR: , 0 , 0 , 0 , 1 , feetD: , -0.34079 , 0.59692 , 0.147014 ,  , elbowR: , 0.169685 , 0.855092 , -0.369171 , 0.322082 , elbowD: , 0.103931 , -0.335825 , -0.230259 , [0m
[0m[ INFO] [1435766578.284401909]: 20 , feetR: , 0 , 0 , 0 , 1 , feetD: , -0.336939 , 0.634137 , 0.0747624 ,  , elbowR: , 0.165604 , 0.860818 , -0.367419 , 0.310759 , elbowD: , 0.0999195 , -0.336281 , -0.234732 , [0m
[0m[ INFO] [1435766578.317853582]: 21 , feetR: , 0 , 0 , 0 , 1 , feetD: , -0.326936 , 0.661095 , -0.00965563 ,  , elbowR: , 0.166651 , 0.865846 , -0.364589 , 0.299355 , elbowD: , 0.121491 , -0.339114 , -0.212201 , [0m
[0m[ INFO] [1435766578.351159089]: 22 , feetR: , 0 , 0 , 0 , 1 , feetD: , -0.319951 , 0.700024 , -0.0521756 ,  , elbowR: , 0.163311 , 0.86514 , -0.365608 , 0.301983 , elbowD: , 0.107073 , -0.337142 , -0.231832 , [0m
[0m[ INFO] [1435766578.384406124]: 23 , feetR: , 0 , 0 , 0 , 1 , feetD: , -0.346532 , 0.334277 , 0.382543 ,  , elbowR: , 0.168342 , 0.869508 , -0.361778 , 0.29109 , elbowD: , 0.123514 , -0.340712 , -0.214827 , [0m
[0m[ INFO] [1435766578.417842894]: 24 , feetR: , 0 , 0 , 0 , 1 , feetD: , -0.341377 , 0.294018 , 0.393517 ,  , elbowR: , 0.171608 , 0.868934 , -0.361855 , 0.290801 , elbowD: , 0.123483 , -0.341766 , -0.214379 , [0m
[0m[ INFO] [1435766578.451089343]: 25 , feetR: , 0 , 0 , 0 , 1 , feetD: , -0.337032 , 0.280874 , 0.400059 ,  , elbowR: , 0.16948 , 0.871536 , -0.36122 , 0.284994 , elbowD: , 0.126246 , -0.341631 , -0.216367 , [0m
[0m[ INFO] [1435766578.484581809]: 26 , feetR: , 0 , 0 , 0 , 1 , feetD: , -0.331533 , 0.269875 , 0.403025 ,  , elbowR: , 0.168815 , 0.872654 , -0.36033 , 0.283087 , elbowD: , 0.126446 , -0.339794 , -0.217085 , [0m
[0m[ INFO] [1435766578.517845509]: 27 , feetR: , 0 , 0 , 0 , 1 , feetD: , -0.332674 , 0.255007 , 0.410165 ,  , elbowR: , 0.16977 , 0.871744 , -0.361365 , 0.284001 , elbowD: , 0.125412 , -0.339165 , -0.215467 , [0m
[0m[ INFO] [1435766578.551020166]: 28 , feetR: , 0 , 0 , 0 , 1 , feetD: , -0.32999 , 0.25498 , 0.411434 ,  , elbowR: , 0.169949 , 0.873326 , -0.360947 , 0.279529 , elbowD: , 0.127841 , -0.340051 , -0.216762 , [0m
[0m[ INFO] [1435766578.584510192]: 29 , feetR: , 0 , 0 , 0 , 1 , feetD: , -0.331652 , 0.258418 , 0.414922 ,  , elbowR: , 0.170069 , 0.869461 , -0.361314 , 0.290802 , elbowD: , 0.101742 , -0.337243 , -0.243444 , [0m
[0m[ INFO] [1435766578.617805596]: 30 , feetR: , 0 , 0 , 0 , 1 , feetD: , -0.322774 , 0.267246 , 0.408826 ,  , elbowR: , 0.170391 , 0.865354 , -0.364728 , 0.298501 , elbowD: , 0.100266 , -0.333635 , -0.236978 , [0m
[0m[ INFO] [1435766578.651131924]: 31 , feetR: , 0 , 0 , 0 , 1 , feetD: , -0.319311 , 0.259894 , 0.407708 ,  , elbowR: , 0.167997 , 0.861664 , -0.3675 , 0.30701 , elbowD: , 0.100561 , -0.331046 , -0.234847 , [0m
