[0m[ INFO] [1435766959.748355518]: 3 , feetR: , 0 , 0 , 0 , 1 , feetD: , -0.278811 , 0.239406 , 0.45946 ,  , elbowR: , -1.11022e-16 , -3.09989e-17 , 1 , -2.06826e-05 , elbowD: , -0.0144366 , -0.326838 , 0.0150652 , [0m
[0m[ INFO] [1435766959.781731249]: 4 , feetR: , 0 , 0 , 0 , 1 , feetD: , -0.274953 , 0.396485 , 0.375836 ,  , elbowR: , -1.11022e-16 , -3.09912e-17 , 1 , -2.06826e-05 , elbowD: , -0.0139559 , -0.32678 , 0.0172841 , [0m
[0m[ INFO] [1435766959.814993347]: 5 , feetR: , 0 , 0 , 0 , 1 , feetD: , -0.282519 , 0.223471 , 0.447599 ,  , elbowR: , -1.11022e-16 , -3.09853e-17 , 1 , -2.06826e-05 , elbowD: , -0.0152531 , -0.326858 , 0.0135801 , [0m
[0m[ INFO] [1435766959.848366206]: 6 , feetR: , 0 , 0 , 0 , 1 , feetD: , -0.282519 , 0.223471 , 0.447599 ,  , elbowR: , -1.11022e-16 , -3.09853e-17 , 1 , -2.06826e-05 , elbowD: , -0.0152531 , -0.326858 , 0.0135801 , [0m
[0m[ INFO] [1435766959.881737702]: 7 , feetR: , 0 , 0 , 0 , 1 , feetD: , -0.275489 , 0.513621 , 0.288473 ,  , elbowR: , -1.11022e-16 , -3.09735e-17 , 1 , -2.06826e-05 , elbowD: , -0.0132943 , -0.326909 , 0.0151486 , [0m
[0m[ INFO] [1435766959.914997329]: 8 , feetR: , 0 , 0 , 0 , 1 , feetD: , -0.268781 , 0.606314 , 0.199257 ,  , elbowR: , -1.11022e-16 , -3.09684e-17 , 1 , -2.06826e-05 , elbowD: , -0.0139487 , -0.326856 , 0.0148689 , [0m
[0m[ INFO] [1435766959.948356025]: 9 , feetR: , 0 , 0 , 0 , 1 , feetD: , -0.280297 , 0.197412 , 0.415236 ,  , elbowR: , -1.11022e-16 , -3.09633e-17 , 1 , -2.06826e-05 , elbowD: , -0.0144106 , -0.326502 , 0.0204296 , [0m
[0m[ INFO] [1435766959.981665933]: 10 , feetR: , 0 , 0 , 0 , 1 , feetD: , -0.280921 , 0.369164 , 0.361394 ,  , elbowR: , -1.11022e-16 , -3.09607e-17 , 1 , -2.06826e-05 , elbowD: , -0.0116487 , -0.326706 , 0.0198151 , [0m
[0m[ INFO] [1435766960.015051338]: 11 , feetR: , 0 , 0 , 0 , 1 , feetD: , -0.276587 , 0.503488 , 0.288759 ,  , elbowR: , -1.11022e-16 , -3.09565e-17 , 1 , -2.06826e-05 , elbowD: , -0.0116158 , -0.326772 , 0.018632 , [0m
[0m[ INFO] [1435766960.048353629]: 12 , feetR: , 0 , 0 , 0 , 1 , feetD: , -0.276587 , 0.503488 , 0.288759 ,  , elbowR: , -1.11022e-16 , -3.09565e-17 , 1 , -2.06826e-05 , elbowD: , -0.0116158 , -0.326772 , 0.018632 , [0m
[0m[ INFO] [1435766960.081759315]: 13 , feetR: , 0 , 0 , 0 , 1 , feetD: , -0.262509 , 0.687858 , 0.12706 ,  , elbowR: , -1.11022e-16 , -3.09506e-17 , 1 , -2.06826e-05 , elbowD: , -0.0123666 , -0.326985 , 0.0138276 , [0m
